parameter,param_id,grid_id,tau,relative_day,mean,median,sd,q5,q95
delay_hosp,1,1,0,0,5.113456626866666,5.095517900000001,0.2656412089338122,4.71247557,5.569254385
p_hosp,2,1,0,0,0.3458427287245,0.34854181500000003,0.0560393613848029,0.25040731,0.43432529950000004
p_ETU,3,1,0,0,0.06147057938622077,0.050741797000000005,0.048326919629023364,0.004236640865,0.15466142550000003
latent_IPC,4,1,0,0,0.05963909389440733,0.051156443499999996,0.045039509254049356,0.004613413994999999,0.14668524200000002
p_unsafe_funeral_comm,5,1,0,0,0.9412774214333334,0.94348052,0.03261435821916465,0.8823298150000001,0.990391521
p_unsafe_funeral_hosp,6,1,0,0,0.028536750436333334,0.028498031,0.004312705459489302,0.02161853595,0.0357480514
delay_hosp,1,2,0.010101010101010102,3.6060606060606064,5.1076614481,5.0904778,0.2610075127700742,4.71063375,5.554520235
p_hosp,2,2,0.010101010101010102,3.6060606060606064,0.34632225289383334,0.34901282,0.05578136807714727,0.2513303175,0.43437232750000004
p_ETU,3,2,0.010101010101010102,3.6060606060606064,0.0616927921607995,0.0509555715,0.04828175680241538,0.004497590524999999,0.154832132
latent_IPC,4,2,0.010101010101010102,3.6060606060606064,0.05981612375170133,0.051456143999999995,0.045021778077876315,0.0048794101749999996,0.14671137600000003
p_unsafe_funeral_comm,5,2,0.010101010101010102,3.6060606060606064,0.9409220015616667,0.943149645,0.03260387600280207,0.882068916,0.9899583730000001
p_unsafe_funeral_hosp,6,2,0.010101010101010102,3.6060606060606064,0.028509619439,0.0284675145,0.004303108605382455,0.02161119165,0.03569913485000001
delay_hosp,1,3,0.020202020202020204,7.212121212121213,5.101680505183333,5.08607105,0.2563933398421941,4.71023068,5.53990647
p_hosp,2,3,0.020202020202020204,7.212121212121213,0.34682692511383334,0.349555355,0.055521581712159734,0.252162873,0.43458489
p_ETU,3,3,0.020202020202020204,7.212121212121213,0.061930100688165,0.0511917765,0.048238054812542654,0.00478553195,0.154838492
latent_IPC,4,3,0.020202020202020204,7.212121212121213,0.06000477432753033,0.0517250375,0.04500727350538057,0.005125051995,0.146733988
p_unsafe_funeral_comm,5,3,0.020202020202020204,7.212121212121213,0.9405407164883334,0.94266525,0.032600588793290204,0.881949092,0.989552674
p_unsafe_funeral_hosp,6,3,0.020202020202020204,7.212121212121213,0.028481264787166668,0.0284362895,0.004293662827878899,0.02160700285,0.035666029
delay_hosp,1,4,0.030303030303030304,10.818181818181818,5.0955062319,5.0815093000000005,0.2518061155683026,4.70960487,5.519173309999999
p_hosp,2,4,0.030303030303030304,10.818181818181818,0.3473583165315,0.35002457,0.055260208464732986,0.253303425,0.4346417155
