date,new_onsets_lower_90,new_onsets_lower_60,new_onsets_lower_30,new_onsets_upper_30,new_onsets_upper_60,new_onsets_upper_90,cumulative_onsets_lower_90,cumulative_onsets_lower_60,cumulative_onsets_lower_30,cumulative_onsets_upper_30,cumulative_onsets_upper_60,cumulative_onsets_upper_90
2026-02-23,3.2538170810277445e-10,5.65927347134238e-7,5.5713484221449375e-6,9.995330021598351e-5,0.0003525260225000198,0.0018333866802999253,3.2538170810277445e-10,5.65927347134238e-7,5.5713484221449375e-6,9.995330021598351e-5,0.0003525260225000198,0.0018333866802999253
2026-02-24,2.2226098466764507e-5,0.000678908253032874,0.0019907217934293855,0.009227864533070538,0.0175238136680568,0.04528707330946303,2.2226962634353276e-5,0.0006792169906839781,0.0020002048159628778,0.009325234692805214,0.017851098496989418,0.046912414905157886
2026-02-25,0.0020101110550832186,0.012670565128469067,0.024037128716418624,0.06069699846411056,0.09529232736176557,0.1877571978176294,0.0020255308343008665,0.013388171444061832,0.026472193880600327,0.07060894805896248,0.11558354493173942,0.23647384011005215
2026-02-26,0.02012505935758943,0.05440127430262574,0.08669474921329189,0.16473686509671903,0.23232715661340736,0.40757064672922055,0.022866153647060104,0.06922305592337266,0.1142436592564102,0.23615175872110683,0.34520623797157346,0.629922109613864
2026-02-27,0.06911049903249426,0.1282134724785147,0.1774880271747344,0.30076715203397,0.40274082036867076,0.6420890539990638,0.09475227118536934,0.19975209440916786,0.2980258350016321,0.5351326949896967,0.743280724407602,1.278583082783167
2026-02-28,0.12928488907527322,0.21182230830820126,0.2788001695620216,0.4444525224425606,0.5770825795593123,0.8970369156599074,0.23789536258846775,0.42263956206235714,0.5777056393821385,0.9793495452886872,1.3112029861356844,2.1524967662146923
2026-03-01,0.18358715030793196,0.28400262581243063,0.3709150469879189,0.5768117850546484,0.748940224033405,1.1516358611108912,0.43313004137257544,0.7163901740178424,0.9590775862569891,1.5568346970484392,2.054312404379843,3.2521469598799575
2026-03-02,0.22806468325572685,0.3461490534124919,0.4494804523606526,0.6887981056969945,0.885085143149051,1.3757586514693911,0.6711050716330841,1.08789966936713,1.4238824854502514,2.257742582240727,2.9358632583663105,4.570726395710559
2026-03-03,0.2657732018969038,0.40044324797341846,0.5131593250480658,0.7850626474633627,1.0066895261488134,1.554601076742459,0.9446972060416619,1.4830506428232693,1.9375427688295443,3.035648158220967,3.9559979020964664,6.121123340341693
2026-03-04,0.29610952316027533,0.4439795064142216,0.5664695710557446,0.8675567656218821,1.1020249304797727,1.7032648710887595,1.248597058303468,1.9495045193816964,2.5227951227000527,3.9145346872327274,5.081109507058976,7.780707137336888
2026-03-05,0.319999061881716,0.4802844916552415,0.6173226909884054,0.9386823176358028,1.1851718429387068,1.8305549828909746,1.5578129705850219,2.4147842373400845,3.136827291475824,4.837881274780928,6.273224287902521,9.594270850652467
2026-03-06,0.34002524876959966,0.5127846092990543,0.6566433284054904,0.9992338162881857,1.2604236652974554,1.9460908810030184,1.905556755987268,2.932573897797325,3.817011639837827,5.830495293178515,7.52380758788267,11.593035013242037
2026-03-07,0.3612383950837796,0.5407472330866505,0.6935280368084337,1.055212303471761,1.3290427338912782,2.054914699644852,2.2581453113445025,3.4806022091273743,4.508969725833208,6.8813161495780015,8.856844427960485,13.716742673864674
2026-03-08,0.38102882880016803,0.5699075586572503,0.7268397828923411,1.1057325124681623,1.3961981288863816,2.1559077674446296,2.652407808558252,4.056205565019827,5.237585090535984,7.975355761187798,10.252822472497332,15.938621320034397
2026-03-09,0.3993968412695991,0.5973840023606243,0.7618839720204147,1.1584625772986628,1.4624535124707214,2.254396005322164,3.063515888699889,4.6500427462566405,5.987279423501106,9.143179059428672,11.717228251413633,18.135426791677347
2026-03-10,0.4177936171871204,0.6268633076518585,0.7970735408851413,1.2091748898741939,1.5269640910321804,2.3499509635442783,3.4632065992531187,5.2931779825135274,6.7827439420496205,10.370559078262346,13.2207250289321,20.371117284229115
2026-03-11,0.4380584724495686,0.6517194612333874,0.8297413287982562,1.255819918692052,1.588775327706878,2.4310846160794557,3.920688118479564,5.95738860086736,7.600327613362438,11.598171136679277,14.776422404304274,22.728753063290906
2026-03-12,0.45523893654830605,0.6792679686870166,0.863869794560474,1.3019905005924706,1.6485930887698113,2.522910068283104,4.403602594372729,6.645284138909161,8.481448986371618,12.927602386171277,16.43686775442195,25.284144201307328
2026-03-13,0.47553759594605144,0.7052367401385299,0.8990347923836395,1.3518924503136074,1.710031015370634,2.6110691148981093,4.88951992411692,7.3679799165860045,9.37684755803989,14.26882687941617,18.12879651049316,27.93295545895395
