"set_id","deaths_no_obv","deaths_obv","hcw_deaths_no_obv","hcw_deaths_obv","deaths_averted","hcw_deaths_averted","pct_deaths_averted","pct_hcw_deaths_averted"
64,2949.2,2251,60.6,20.6,698.2,40,23.6742167367422,66.006600660066
65,4058.6,2874.8,87,27.4,1183.8,59.6,29.1676932932538,68.5057471264368
66,2777.2,2463.2,61.8,19.6,314,42.2,11.306351721158,68.2847896440129
67,3309.6,3526.4,79.6,30.4,-216.8,49.2,-6.55064056079285,61.8090452261307
68,2791.4,2093.8,71,20.6,697.6,50.4,24.9910439206133,70.9859154929577
69,3463.4,1988.6,81.2,17,1474.8,64.2,42.5824334469019,79.064039408867
70,1883.2,2448.8,49.6,22.2,-565.6,27.4,-30.0339847068819,55.241935483871
71,1510.2,2474,38.2,21.8,-963.8,16.4,-63.8193616739505,42.9319371727749
72,1059.2,2374,26.6,18.4,-1314.8,8.2,-124.131419939577,30.8270676691729
73,3889.4,3297.2,95,27.2,592.2,67.8,15.2259988687201,71.3684210526316
74,3659.6,3317.8,91.8,29,341.8,62.8,9.33981855940539,68.4095860566449
75,1888,2198.2,50,17.2,-310.2,32.8,-16.4300847457627,65.6
76,4271.8,4085,81.8,29.8,186.8,52,4.37286389812258,63.5696821515892
77,2747.4,2927.8,65.2,25,-180.4,40.2,-6.56620805124846,61.6564417177914
78,2541.8,2915.2,56,23.6,-373.4,32.4,-14.6903768982611,57.8571428571429
79,4064.2,2337,79.8,16.8,1727.2,63,42.4979085674917,78.9473684210526
80,2942.4,3138.2,45.6,23.6,-195.8,22,-6.65443175638933,48.2456140350877
81,2576.8,2387.2,66.2,20.8,189.6,45.4,7.35796336541448,68.5800604229607
82,3254.8,2077.4,84.8,20.8,1177.4,64,36.1742656998894,75.4716981132076
83,2372.6,2523.2,42,18,-150.6,24,-6.34746691393408,57.1428571428571
84,2798.8,3980.2,69.8,31.8,-1181.4,38,-42.2109475489495,54.4412607449857
85,2989.2,3208.8,77.4,26,-219.6,51.4,-7.34644720995585,66.4082687338501
86,2428.2,2664.6,44.8,19.4,-236.4,25.4,-9.73560662218928,56.6964285714286
87,2520,2391.2,56.2,18.6,128.8,37.6,5.11111111111112,66.9039145907473
88,3753.4,3234.2,94.6,33.4,519.2,61.2,13.8327916022806,64.6934460887949
89,2662,2003,66.6,15.4,659,51.2,24.755822689707,76.8768768768769
90,3410.6,4782,79,40.4,-1371.4,38.6,-40.2099337359995,48.8607594936709
91,1724.4,1261.8,45,15.6,462.6,29.4,26.8267223382046,65.3333333333333
92,3428.2,2731.2,59.4,20.6,697,38.8,20.3313692316668,65.3198653198653
93,1238.4,3173.2,34,26.6,-1934.8,7.4,-156.233850129199,21.7647058823529
94,2373.6,2122.2,64,18.6,251.4,45.4,10.5915065722953,70.9375
95,3160.4,2900.2,73,23.8,260.2,49.2,8.23313504619669,67.3972602739726
96,2951,2482.2,74.4,29.2,468.8,45.2,15.8861402914266,60.752688172043
97,3875.6,3327,97.6,28.6,548.6,69,14.1552275776654,70.6967213114754
98,1833.8,3487,44.6,31.6,-1653.2,13,-90.1515977751118,29.1479820627803
99,2931.6,988.4,95.6,7.6,1943.2,88,66.2846227316141,92.0502092050209
100,2861.8,2385.2,61.2,21.6,476.6,39.6,16.6538542176253,64.7058823529412
