"quantity","mean","q2.5","q25","q50","q75","q97.5"
"deaths_averted",191.596,-1703.075,-373.5,220.5,697.9,2160.03
"hcw_deaths_averted",45.426,11.635,31.7,44.7,59.45,85.395
"pct_deaths_averted",0.562662447832179,-97.6195986091277,-14.7687115394662,7.79554920580559,24.0151461297972,66.173811603577
"pct_hcw_deaths_averted",63.781919185672,31.3842105263158,57.4902030637692,65.5974276527331,72.5733437437704,87.6573372266401
