"set_id","particle","R0","prop_funeral","hcw_risk_scalar","mn_offspring_genPop","mn_offspring_funeral","prob_hcw_cond_genPop_hospital","prob_hcw_cond_hcw_hospital"
1,679,1.51935960593222,0.172645412048884,3.21196763365193,1.27771177609758,0.505650919727758,0.802991908412983,0.802991908412983
2,509,1.55852725243743,0.209997986886189,3.53375024790444,1.25147806133052,0.630906084881398,0.88343756197611,0.88343756197611
3,299,1.53907897806288,0.212531316489333,2.296588384021,1.23189825440908,0.630549263152284,0.57414709600525,0.57414709600525
4,187,1.50238235394978,0.169439472808562,3.43785321724532,1.26833040357929,0.49071603477764,0.85946330431133,0.85946330431133
5,597,1.50238235394978,0.169439472808562,3.43785321724532,1.26833040357929,0.49071603477764,0.85946330431133,0.85946330431133
6,494,1.62435624156187,0.254569627701314,3.31139540619373,1.23074762816835,0.797118801358827,0.827848851548432,0.827848851548432
7,591,1.60778917020708,0.260675866376796,3.15060127488658,1.20821611511859,0.807913952683635,0.787650318721645,0.787650318721645
8,37,1.49237751658737,0.154367669168951,3.21604317718052,1.28274673654699,0.444089216961987,0.80401079429513,0.80401079429513
9,485,1.59057202625898,0.242304739066803,2.09630448356118,1.22497874470656,0.742934339046206,0.524076120890295,0.524076120890295
10,382,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
11,326,1.56339532138756,0.231196507822488,3.4125803714963,1.22170062861324,0.69676329080078,0.853145092874075,0.853145092874075
12,554,1.50238235394978,0.169439472808562,3.43785321724532,1.26833040357929,0.49071603477764,0.85946330431133,0.85946330431133
13,111,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
14,532,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
15,556,1.49237751658737,0.154367669168951,3.21604317718052,1.28274673654699,0.444089216961987,0.80401079429513,0.80401079429513
16,343,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
17,121,1.55210525437256,0.217166840040331,3.96915679573677,1.23501156581171,0.649755351363351,0.992289198934193,0.992289198934193
18,684,1.53008102390961,0.175575053300907,3.41050995560228,1.28217172646811,0.517860065380724,0.85262748890057,0.85262748890057
19,375,1.62435624156187,0.254569627701314,3.31139540619373,1.23074762816835,0.797118801358827,0.827848851548432,0.827848851548432
20,198,1.5979189876145,0.252744803038481,3.51120839808258,1.2136804140456,0.778524305131218,0.877802099520645,0.877802099520645
21,39,1.62900248403029,0.270940694475382,3.98768860443364,1.20716113886439,0.850807226565134,0.99692215110841,0.99692215110841
22,390,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
23,672,1.59419732002843,0.233188553612438,3.1095647586505,1.24254264732788,0.716612677928185,0.777391189662625,0.777391189662625
24,642,1.55210525437256,0.217166840040331,3.96915679573677,1.23501156581171,0.649755351363351,0.992289198934193,0.992289198934193
