date,cumulative_onsets,daily_incidence
2026-02-16,3.0686378846395877e-6,3.0686378846395877e-6
2026-02-17,0.00133971090332342,0.0013366422654387804
2026-02-18,0.019930182662331077,0.018590471759007656
2026-02-19,0.09173335758989143,0.07180317492756036
2026-02-20,0.24888896470539995,0.15715560711550852
2026-02-21,0.5001726007222478,0.25128363601684783
2026-02-22,0.8377338801374159,0.3375612794151681
2026-02-23,1.2558910774086907,0.41815719727127476
2026-02-24,1.7102967058264067,0.45440562841771603
2026-02-25,2.2361498210408746,0.5258531152144679
2026-02-26,2.7758057644079543,0.5396559433670798
2026-02-27,3.374792768817576,0.5989870044096217
2026-02-28,3.9947859674802912,0.6199931986627152
2026-03-01,4.646895327777905,0.6521093602976138
2026-03-02,5.318661084878873,0.6717657571009683
2026-03-03,6.0379609622815735,0.7192998774027002
2026-03-04,6.7788581071149,0.7408971448333261
2026-03-05,7.56336656264039,0.78450845552549
2026-03-06,8.372413737312947,0.8090471746725569
2026-03-07,9.202265439162666,0.8298517018497193
2026-03-08,10.07965168988222,0.8773862507195549
2026-03-09,10.996738762844899,0.9170870729626781
2026-03-10,11.934882106106095,0.9381433432611956
2026-03-11,12.890704306172891,0.9558222000667964
2026-03-12,13.914069242481883,1.023364936308992
2026-03-13,14.985598278474082,1.0715290359921994
2026-03-14,16.0822141984255,1.096615919951418
2026-03-15,17.231423661541022,1.1492094631155219
2026-03-16,18.43145334534575,1.200029683804729
2026-03-17,19.70757990574302,1.2761265603972696
2026-03-18,20.99870176702241,1.2911218612793895
2026-03-19,22.359475170346222,1.3607734033238117
2026-03-20,23.791801323268125,1.4323261529219025
2026-03-21,25.23769818905804,1.4458968657899156
2026-03-22,26.826922406247192,1.5892242171891517
2026-03-23,28.41725375880671,1.5903313525595166
2026-03-24,30.07840666316756,1.6611529043608506
2026-03-25,31.79004434687177,1.711637683704211
2026-03-26,33.55335215473819,1.763307807866422
2026-03-27,35.31578700267512,1.7624348479369303
2026-03-28,37.200850503142604,1.8850635004674814
2026-03-29,39.17696383409118,1.9761133309485786
2026-03-30,41.29836822356951,2.1214043894783288
2026-03-31,43.46464850768896,2.166280284119452
2026-04-01,45.66842506675363,2.2037765590646643
2026-04-02,47.981302241015605,2.3128771742619776
2026-04-03,50.356235558287466,2.3749333172718607
2026-04-04,52.93193045664168,2.5756948983542145
2026-04-05,55.42062509192837,2.4886946352866914
2026-04-06,58.14201247376184,2.721387381833466
2026-04-07,61.08081469997201,2.9388022262101714
2026-04-08,64.0641864999659,2.98337179999389
2026-04-09,67.17784791608914,3.113661416123236
2026-04-10,70.3811017989588,3.20325388286966
2026-04-11,73.95358882811715,3.572487029158353
2026-04-12,77.55893710065568,3.605348272538535
2026-04-13,81.44956259140582,3.890625490750139
2026-04-14,85.55088808999578,4.101325498589958
2026-04-15,89.83680853661416,4.285920446618377
2026-04-16,94.28802286569339,4.451214329079235
2026-04-17,99.09362921250792,4.805606346814528
2026-04-18,104.21762144939075,5.1239922368828275
2026-04-19,109.78024273183911,5.562621282448362
2026-04-20,115.45094296511277,5.670700233273664
2026-04-21,121.85975357303684,6.408810607924067
2026-04-22,128.53930607625566,6.679552503218815
2026-04-23,135.28114569534068,6.741839619085027
2026-04-24,142.99116218299233,7.710016487651643
2026-04-25,150.81947776352428,7.8283155805319495
2026-04-26,159.3381461365767,8.518668373052435
2026-04-27,168.5496420325356,9.211495895958876
2026-04-28,178.70315582744655,10.153513794910964
2026-04-29,189.2287879713818,10.52563214393524
2026-04-30,200.74695893810048,11.518170966718685
2026-05-01,213.29091471348477,12.54395577538429
2026-05-02,226.49338519271822,13.202470479233455
2026-05-03,240.9173002751124,14.423915082394188
2026-05-04,256.51323727643125,15.595937001318845
2026-05-05,273.3134687163854,16.800231439954132
2026-05-06,291.75448329824474,18.44101458185935
2026-05-07,311.3793053455255,19.62482204728076
2026-05-08,332.64087512213655,21.261569776611054
2026-05-09,355.3639051007856,22.723029978649038
2026-05-10,380.2774922530085,24.91358715222293
2026-05-11,406.6884923642528,26.411000111244277
2026-05-12,436.0152722530446,29.326779888791805
2026-05-13,467.4840214178821,31.468749164837504
2026-05-14,501.42724600774295,33.94322458986085
2026-05-15,536.9966775413625,35.569431533619536
2026-05-16,578.5755425552331,41.578865013870654
2026-05-17,621.3310143132603,42.75547175802717
2026-05-18,668.2885388115448,46.95752449828444
2026-05-19,717.0199487592567,48.731409947711995
2026-05-20,771.5582845553913,54.53833579613456
2026-05-21,828.7330251095876,57.17474055419632
2026-05-22,891.9419114163852,63.20888630679758
2026-05-23,959.9793742689568,68.0374628525716
2026-05-24,1029.220414029849,69.24103976089225
2026-05-25,1105.3267869932702,76.10637296342111
2026-05-26,1188.0435489911752,82.716761997905
2026-05-27,1277.8390341211657,89.79548512999054
2026-05-28,1372.9018659802687,95.06283185910297
2026-05-29,1477.319456796592,104.41759081632335
2026-05-30,1591.604550306925,114.2850935103329
2026-05-31,1711.3771681498624,119.7726178429375
2026-06-01,1836.7757912632956,125.39862311343313
2026-06-02,1974.225950124423,137.45015886112742
2026-06-03,2125.2412728824784,151.0153227580554
2026-06-04,2279.6902229285306,154.44895004605223
2026-06-05,2440.209620477702,160.51939754917157
2026-06-06,2629.8719519373335,189.66233145963133
2026-06-07,2816.3127998096606,186.44084787232714
