"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost","obv_efficacy","obv_coverage"
"DRC",9,5,"cov10_obv50",63,27686.0838931635,65,2,28751.6303885628,0.5,0.1
"DRC",9,6,"cov10_obv50",35,17763.8740059735,37,2,18730.9526768242,0.5,0.1
"DRC",9,7,"cov10_obv50",106,85035.4431886729,113,7,88938.3076900753,0.5,0.1
"DRC",9,8,"cov10_obv50",11,1483.05038863259,11,0,1483.05038863259,0.5,0.1
"DRC",9,9,"cov10_obv50",17,3584.51484084672,19,2,3918.21828095215,0.5,0.1
"DRC",9,10,"cov10_obv50",13,2130.11019538323,13,0,2130.11019538323,0.5,0.1
"DRC",10,1,"cov10_obv50",83,52605.4765021601,85,2,54331.4223016332,0.5,0.1
"DRC",10,2,"cov10_obv50",55,25154.9159170301,57,2,25895.8562920374,0.5,0.1
"DRC",10,3,"cov10_obv50",93,41978.3866741949,97,4,44742.4552134457,0.5,0.1
"DRC",10,4,"cov10_obv50",93,41978.3866741949,97,4,44742.4552134457,0.5,0.1
"DRC",10,5,"cov10_obv50",14,2676.01394317296,15,1,2761.79916920049,0.5,0.1
"DRC",10,6,"cov10_obv50",211,68519.6004510174,223,12,72462.4882347728,0.5,0.1
"DRC",10,7,"cov10_obv50",26,8086.01772974197,27,1,8140.14232494597,0.5,0.1
"DRC",10,8,"cov10_obv50",174,38546.6350517701,185,11,39869.2805090329,0.5,0.1
"DRC",10,9,"cov10_obv50",215,45118.8921133397,226,11,46730.1530213616,0.5,0.1
"DRC",10,10,"cov10_obv50",215,45118.8921133397,226,11,46730.1530213616,0.5,0.1
"DRC",11,1,"cov10_obv50",1,19.0157036529474,1,0,19.0157036529474,0.5,0.1
"DRC",11,2,"cov10_obv50",8,917.461782206581,8,0,917.461782206581,0.5,0.1
"DRC",11,3,"cov10_obv50",11,2192.58882556298,12,1,2269.66489319574,0.5,0.1
"DRC",11,4,"cov10_obv50",18,7307.40420603767,18,0,7307.40420603767,0.5,0.1
"DRC",11,5,"cov10_obv50",29,5500.20316806284,30,1,5953.7198707855,0.5,0.1
"DRC",11,6,"cov10_obv50",49,28965.336643006,49,0,28965.336643006,0.5,0.1
"DRC",11,7,"cov10_obv50",5,660.565730141437,5,0,694.724717916976,0.5,0.1
"DRC",11,8,"cov10_obv50",80,42209.7685974306,83,3,44121.6490082398,0.5,0.1
"DRC",11,9,"cov10_obv50",174,119070.537431757,180,6,122565.314950956,0.5,0.1
"DRC",11,10,"cov10_obv50",45,33656.6253448696,48,3,35327.2994536966,0.5,0.1
"DRC",12,1,"cov10_obv50",14,3470.80564253825,15,1,3645.67026773548,0.5,0.1
"DRC",13,1,"cov10_obv50",6,1579.37820517155,6,0,1579.37820517155,0.5,0.1
"DRC",13,2,"cov10_obv50",157,38047.5794394401,168,11,41054.5620964975,0.5,0.1
"DRC",13,3,"cov10_obv50",16,1986.0195523049,18,2,2182.660584663,0.5,0.1
"DRC",13,4,"cov10_obv50",49,24572.2237193602,50,1,25037.0569180285,0.5,0.1
"DRC",13,5,"cov10_obv50",9,1928.28536895104,11,2,2386.75945172386,0.5,0.1
"DRC",13,6,"cov10_obv50",2,316.826459021926,2,0,316.826459021926,0.5,0.1
"DRC",13,7,"cov10_obv50",4,358.058824455297,4,0,358.058824455297,0.5,0.1
"DRC",13,8,"cov10_obv50",68,24841.0235710044,72,4,26561.5531803153,0.5,0.1
"DRC",13,9,"cov10_obv50",176,39770.4536534157,184,8,41182.2138064573,0.5,0.1
"DRC",13,10,"cov10_obv50",4,310.843737787831,4,0,310.843737787831,0.5,0.1
"DRC",14,1,"cov10_obv50",170,96061.1920793481,180,10,100720.022504275,0.5,0.1
"DRC",14,2,"cov10_obv50",27,6431.00729113271,33,6,7251.41756245328,0.5,0.1
"DRC",14,3,"cov10_obv50",24,5673.18951914368,26,2,6048.356312661,0.5,0.1
"DRC",14,4,"cov10_obv50",6,595.128607042432,6,0,595.128607042432,0.5,0.1
"DRC",14,5,"cov10_obv50",22,4955.26466125586,22,0,4955.26466125586,0.5,0.1
"DRC",14,6,"cov10_obv50",16,4954.42261528327,16,0,5383.33982988947,0.5,0.1
"DRC",14,7,"cov10_obv50",6,1594.70752503574,6,0,1617.25153850158,0.5,0.1
"DRC",14,8,"cov10_obv50",2,528.470569205821,2,0,528.470569205821,0.5,0.1
"DRC",14,9,"cov10_obv50",2,528.470569205821,2,0,528.470569205821,0.5,0.1
"DRC",14,10,"cov10_obv50",30,12787.1783219963,31,1,13041.5881531342,0.5,0.1
"DRC",15,1,"cov10_obv50",8,922.839970986372,8,0,922.839970986372,0.5,0.1
"DRC",16,1,"cov10_obv50",115,81757.0858642021,123,8,86896.7539090304,0.5,0.1
"DRC",17,1,"cov10_obv50",20,4463.26720428328,22,2,4828.42535544612,0.5,0.1
"DRC",17,2,"cov10_obv50",77,29544.7961507662,80,3,30124.8517774101,0.5,0.1
"DRC",17,3,"cov10_obv50",62,37558.3556681509,67,5,41586.6055827596,0.5,0.1
"DRC",17,4,"cov10_obv50",4,659.468679404177,4,0,659.468679404177,0.5,0.1
"DRC",17,5,"cov10_obv50",21,7367.00537992261,24,3,8152.11421113589,0.5,0.1
"DRC",17,6,"cov10_obv50",74,51147.4604497698,78,4,53908.6966363365,0.5,0.1
"DRC",17,7,"cov10_obv50",2,246.213075796735,2,0,246.213075796735,0.5,0.1
"DRC",17,8,"cov10_obv50",60,38580.309759903,62,2,40756.5568199469,0.5,0.1
"DRC",17,9,"cov10_obv50",60,38580.309759903,62,2,40756.5568199469,0.5,0.1
"DRC",17,10,"cov10_obv50",22,7242.90403868803,23,1,7574.11778991806,0.5,0.1
"DRC",18,1,"cov10_obv50",3,1111.58822258274,3,0,1111.58822258274,0.5,0.1
"DRC",18,2,"cov10_obv50",175,67621.3847948475,183,8,72348.4897064072,0.5,0.1
"DRC",18,3,"cov10_obv50",3,166.230382353172,3,0,166.230382353172,0.5,0.1
"DRC",18,4,"cov10_obv50",23,3812.35500535347,23,0,3812.35500535347,0.5,0.1
"DRC",18,5,"cov10_obv50",3,226.542717425824,3,0,226.542717425824,0.5,0.1
"DRC",18,6,"cov10_obv50",39,19401.1603403977,42,3,21483.3166998442,0.5,0.1
"DRC",18,7,"cov10_obv50",9,1444.69509123313,9,0,1444.69509123313,0.5,0.1
"DRC",18,8,"cov10_obv50",141,101363.154298484,147,6,107261.989074801,0.5,0.1
"DRC",18,9,"cov10_obv50",19,3815.59375332353,21,2,4200.5958876063,0.5,0.1
"DRC",18,10,"cov10_obv50",3,401.658228354852,3,0,401.658228354852,0.5,0.1
"DRC",19,1,"cov10_obv50",218,32677.4074831822,228,10,33943.9645683122,0.5,0.1
"DRC",20,1,"cov10_obv50",13,2761.43853553836,13,0,2855.35557297126,0.5,0.1
"DRC",21,1,"cov10_obv50",19,3752.49254037014,19,0,3986.97735555422,0.5,0.1
"DRC",21,2,"cov10_obv50",245,52434.0014755261,255,10,54227.3387602784,0.5,0.1
"DRC",21,3,"cov10_obv50",62,31149.2801304823,66,4,32185.2536939488,0.5,0.1
"DRC",21,4,"cov10_obv50",22,4241.96725735906,24,2,4583.41580988886,0.5,0.1
"DRC",21,5,"cov10_obv50",135,66341.5855834206,138,3,68615.8448824929,0.5,0.1
"DRC",21,6,"cov10_obv50",98,53082.5183201536,100,2,56002.6615808132,0.5,0.1
"DRC",21,7,"cov10_obv50",25,4824.90749317042,28,3,5224.15492222107,0.5,0.1
"DRC",21,8,"cov10_obv50",106,52846.5177087318,116,10,55980.3244743117,0.5,0.1
"DRC",21,9,"cov10_obv50",17,1870.87396307981,17,0,1870.87396307981,0.5,0.1
"DRC",21,10,"cov10_obv50",186,96129.1691148142,193,7,99088.4275132763,0.5,0.1
"DRC",22,1,"cov10_obv50",69,24459.9968870211,70,1,25409.2777363138,0.5,0.1
"DRC",22,2,"cov10_obv50",3,371.838224225464,3,0,371.838224225464,0.5,0.1
"DRC",22,3,"cov10_obv50",17,4673.01883989015,19,2,5198.87009733583,0.5,0.1
"DRC",22,4,"cov10_obv50",53,24971.5235949455,58,5,27331.5106627813,0.5,0.1
"DRC",22,5,"cov10_obv50",7,817.991429167986,7,0,843.293659415655,0.5,0.1
"DRC",22,6,"cov10_obv50",152,29588.9658129165,164,12,31307.2305627683,0.5,0.1
