"scenario","particle_id","rep","arm","period","n_hcw_deaths","n_pep_died","n_prevented","n_counterfactual","pct_averted","n_recip_counterfactual","pct_averted_recipients","dpc_mean","dpc_median","n_pep_recipients"
"DRC",44,1,"with_conflict_mid","early (day 0-200)",24,5,43,67,64.1791044776119,48,89.5833333333333,1.03747124800021,1.0086531908042,8
"DRC",44,1,"with_conflict_mid","late (day 201+)",64,4,28,92,30.4347826086957,32,87.5,2.71983142746492,2.25930733630483,8
"DRC",45,1,"with_conflict_mid","early (day 0-200)",22,2,20,42,47.6190476190476,22,90.9090909090909,1.26277526076128,1.07637231875434,6
"DRC",45,1,"with_conflict_mid","late (day 201+)",62,5,64,126,50.7936507936508,69,92.7536231884058,1.77461480773317,1.41590847168493,11
"DRC",45,2,"with_conflict_mid","early (day 0-200)",24,5,31,55,56.3636363636364,36,86.1111111111111,1.10899852380347,1,11
"DRC",45,2,"with_conflict_mid","late (day 201+)",4,0,0,4,0,0,NA,NA,NA,0
"DRC",46,1,"with_conflict_mid","early (day 0-200)",55,14,64,119,53.781512605042,78,82.0512820512821,1.26097066656876,1.07430565983351,22
"DRC",46,1,"with_conflict_mid","late (day 201+)",119,4,8,127,6.2992125984252,12,66.6666666666667,3.51510461770734,3.31246226962572,7
"DRC",47,1,"with_conflict_mid","early (day 0-200)",3,0,2,5,40,2,100,1.09855828144773,1.09855828144773,2
"DRC",47,1,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",48,1,"with_conflict_mid","early (day 0-200)",16,4,29,45,64.4444444444444,33,87.8787878787879,1.08419313277932,1.0389933387373,7
"DRC",48,1,"with_conflict_mid","late (day 201+)",59,6,76,135,56.2962962962963,82,92.6829268292683,1.70910243300907,1.41590847168493,12
"DRC",49,1,"with_conflict_mid","early (day 0-200)",20,1,23,43,53.4883720930233,24,95.8333333333333,1,1,4
"DRC",49,1,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",49,2,"with_conflict_mid","early (day 0-200)",7,2,9,16,56.25,11,81.8181818181818,1.09787520364511,1.09549519019083,3
"DRC",49,2,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",49,3,"with_conflict_mid","early (day 0-200)",16,5,15,31,48.3870967741936,20,75,1.02722423987076,1,12
"DRC",49,3,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",49,4,"with_conflict_mid","early (day 0-200)",12,2,7,19,36.8421052631579,9,77.7777777777778,1.04694216297278,1.04694216297278,2
