"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","condition"
"DRC",28,"cov_conflict_mid",49.5,223138.242823119,199,694,308437.02835758,28.6743515850144,27.6551703239636,"baseline"
"DRC",28,"dpc_conflict_hi",27.2,100985.48512765,366,638,222478.116437643,57.3667711598746,54.6088007464976,"baseline"
"DRC",28,"dpc_conflict_lo",71.5,275451.909790693,249,964,406251.403406709,25.8298755186722,32.196687203827,"baseline"
"DRC",28,"dpc_conflict_mid",28.5,138725.444069257,316,601,281364.784914871,52.5790349417637,50.6955200128438,"baseline"
"DRC",28,"no_pep",54.6,257222.950711613,0,546,257222.950711613,0,0,"baseline"
"DRC",28,"optimistic_hi",10.9,47178.6411314526,577,686,310108.579916874,84.1107871720117,84.7864121837264,"baseline"
"DRC",28,"optimistic_lo",12.8,52444.7808008903,564,692,325200.168945079,81.5028901734104,83.8730770125315,"baseline"
"DRC",28,"optimistic_mid",6,20584.6889823516,274,334,126799.861439693,82.0359281437126,83.7660004130668,"baseline"
"DRC",28,"with_conflict_hi",54.8,255580.276500734,198,746,349259.950078936,26.5415549597855,26.8223349276176,"baseline"
"DRC",28,"with_conflict_lo",38.2,223204.399961036,147,529,310366.90573042,27.7882797731569,28.0836984098723,"baseline"
"DRC",28,"with_conflict_mid",39,245788.330901548,163,553,347276.28581048,29.4755877034358,29.2239807483766,"baseline"
"DRC",29,"cov_conflict_hi",96.5,503974.482659129,494,1459,795786.941055313,33.8588074023304,36.6696716597541,"baseline"
"DRC",29,"cov_conflict_lo",84.8,272228.377007559,290,1138,399305.359841048,25.4833040421793,31.824512168851,"baseline"
"DRC",29,"cov_conflict_mid",54.4,142558.86577194,137,681,195304.366562101,20.1174743024963,27.0068210550685,"baseline"
"DRC",29,"dpc_conflict_hi",59.5,244375.790906236,884,1479,572021.032667123,59.7701149425287,57.2785305171732,"baseline"
"DRC",29,"dpc_conflict_lo",43.2,190842.811700023,227,659,292023.37169592,34.4461305007587,34.6481034748327,"baseline"
"DRC",29,"dpc_conflict_mid",42.1,297173.181444763,457,878,595241.883106501,52.0501138952164,50.075223219534,"baseline"
"DRC",29,"no_pep",109.8,414997.000827753,0,1098,414997.000827753,0,0,"baseline"
"DRC",29,"optimistic_hi",19.7,64200.5555228326,880,1077,360200.432076653,81.7084493964717,82.1764357269926,"baseline"
"DRC",29,"optimistic_lo",20.2,94281.0721766956,864,1066,491262.328429878,81.0506566604128,80.8084058718634,"baseline"
"DRC",29,"optimistic_mid",17.3,55062.5811875266,771,944,312493.038564372,81.6737288135593,82.3795814970822,"baseline"
"DRC",29,"with_conflict_hi",87.8,370537.033182864,385,1263,559392.935905794,30.4829770387965,33.7608665753217,"baseline"
"DRC",29,"with_conflict_lo",71.8,418906.335186994,271,989,563017.070343661,27.4014155712841,25.5961573365268,"baseline"
"DRC",29,"with_conflict_mid",70.4,235369.514626625,267,971,320535.743419591,27.4974253347065,26.5699631137487,"baseline"
"DRC",30,"cov_conflict_hi",73.5,271618.967711546,292,1027,387966.469826137,28.4323271665044,29.9890612110709,"baseline"
"DRC",30,"cov_conflict_lo",74.4,337656.930776215,264,1008,464486.015039071,26.1904761904762,27.3052535827558,"baseline"
"DRC",30,"cov_conflict_mid",46.3,165436.25300577,188,651,235425.83331922,28.8786482334869,29.7289296279349,"baseline"
"DRC",30,"dpc_conflict_hi",51.2,287397.409655272,898,1410,712503.929833026,63.6879432624113,59.6637439287355,"baseline"
"DRC",30,"dpc_conflict_lo",46.9,147440.537356726,155,624,211699.720211112,24.8397435897436,30.3539290417132,"baseline"
"DRC",30,"dpc_conflict_mid",48.5,192512.155600695,511,996,383253.113053534,51.3052208835341,49.7689257976609,"baseline"
"DRC",30,"no_pep",55.8,229832.819619296,0,558,229832.819619296,0,0,"baseline"
"DRC",30,"optimistic_hi",18.6,102951.390967344,869,1055,601513.022234648,82.3696682464455,82.8845948197639,"baseline"
"DRC",30,"optimistic_lo",9.5,29575.171218957,493,588,176792.434850481,83.843537414966,83.2712461684406,"baseline"
"DRC",30,"optimistic_mid",13.6,78613.1541799957,727,863,421183.980711297,84.2410196987254,81.3351984452891,"baseline"
"DRC",30,"with_conflict_hi",47.9,212658.020217202,236,715,321414.218306432,33.006993006993,33.8367725803415,"baseline"
"DRC",30,"with_conflict_lo",60.3,277864.251140783,150,753,354116.055581224,19.9203187250996,21.5329983598979,"baseline"
"DRC",30,"with_conflict_mid",56.2,236247.433437441,178,740,320391.181338643,24.0540540540541,26.2628164575682,"baseline"
"DRC",31,"cov_conflict_hi",19.9,85125.0895532402,96,295,127606.830811145,32.5423728813559,33.2911184988025,"baseline"
