"analysis","scenario_key","scenario_label","r0_factor","hcw_factor","arm","efficacy","particle_id","n_reps","baseline_hcw_deaths","pep_hcw_deaths","hcw_deaths_averted","baseline_hcw_days_lost","pep_hcw_days_lost","hcw_days_lost_averted","pct_hcw_deaths_averted","pct_days_lost_averted"
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,25,10,87,15,72,45633.3369724406,8518.11419026463,37115.222782176,82.7586206896552,81.333571561052
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,26,10,70.6,14,56.6,31461.7587748814,5912.58454142574,25549.1742334556,80.1699716713881,81.2070756001528
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,27,10,93.3,18,75.3,48151.1504710976,9001.41463876742,39149.7358323301,80.7073954983923,81.3059198986939
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,28,10,54.8,10.4,44.4,26089.6239268489,5102.19627342735,20987.4276534215,81.021897810219,80.4435806060942
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,29,10,100.7,20.4,80.3,52451.8091734611,11007.0149184352,41444.794255026,79.7418073485601,79.0149947315748
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,30,10,125.5,24.3,101.2,76405.2274059027,14738.4244364851,61666.8029694177,80.6374501992032,80.7101883773119
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,31,10,47.3,9.2,38.1,22570.8114297526,4413.40236620086,18157.4090635517,80.5496828752643,80.4464169135578
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,32,10,43.2,9.3,33.9,17488.2118007602,3629.20407667559,13859.0077240846,78.4722222222222,79.2477120129696
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,33,10,83.4,17.3,66.1,46218.447702845,9181.36353521399,37037.084167631,79.2565947242206,80.1348509273953
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,34,10,72.8,15.8,57,38307.5687447078,7816.10041412465,30491.4683305831,78.2967032967033,79.5964592109374
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,35,10,51.1,11.9,39.2,21467.3245162544,4557.53670543711,16909.7878108173,76.7123287671233,78.76988955011
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,36,10,45.3,9.1,36.2,13921.2869189926,2727.28778542642,11193.9991335662,79.9116997792495,80.4092265226887
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,37,10,61.6,11.7,49.9,27874.5751804021,5431.96956907936,22442.6056113227,81.0064935064935,80.5128166656386
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,38,10,61.6,12.6,49,24704.9814043821,4863.78522810184,19841.1961762802,79.5454545454545,80.3125323250026
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,39,10,45.9,9.2,36.7,21208.5784790887,4701.25247795745,16507.3260011312,79.9564270152506,77.8332504340505
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,40,10,50.9,10.5,40.4,20641.7021050557,4486.25815181079,16155.4439532449,79.3713163064833,78.2660454599236
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,41,10,40.1,8.7,31.4,15769.4522296298,3166.55419044546,12602.8980391843,78.3042394014963,79.9196944552347
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,42,10,123.9,25.4,98.5,78023.0090335327,15309.3202426313,62713.6887909014,79.499596448749,80.3784544684099
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,43,10,95.7,20.1,75.6,43763.0220038932,9411.71798011358,34351.3040237797,78.9968652037617,78.4939029592694
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,44,10,74,13.6,60.4,34599.4593053753,6097.95778993265,28501.5015154427,81.6216216216216,82.3755691205693
"hcw_exposure","hcw_exposure_150","HCW exposure +50%",1,1.5,"full_obv80",0.8,45,10,51.6,9.5,42.1,23234.3201186601,4423.59689774482,18810.7232209153,81.5891472868217,80.960936773045
