"scenario","policy","dpc","efficacy_scale","intrinsic_efficacy","doses_per_death_med","doses_per_death_lo","doses_per_death_hi"
"WestAfrica","A",0,0.2,0.164684673300707,537.607325713844,414.5144448333,771.450923282009
"WestAfrica","A",0,0.3,0.247027009951061,358.404883809229,276.3429632222,514.30061552134
"WestAfrica","A",0,0.4,0.329369346601415,268.803662856922,207.25722241665,385.725461641005
"WestAfrica","A",0,0.5,0.411711683251769,215.042930285538,165.80577793332,308.580369312804
"WestAfrica","A",0,0.6,0.494054019902122,179.202441904615,138.1714816111,257.15030776067
"WestAfrica","A",0,0.7,0.576396356552476,153.602093061098,118.4326985238,220.414549509146
"WestAfrica","A",0,0.8,0.65873869320283,134.401831428461,103.628611208325,192.862730820502
"WestAfrica","A",0,0.9,0.741081029853183,119.468294603076,92.1143210740668,171.433538507113
"WestAfrica","A",5,0.2,0.164684673300707,830.421920640915,640.284953250606,1191.63137619342
"WestAfrica","A",5,0.3,0.247027009951061,553.61461376061,426.856635500404,794.420917462282
"WestAfrica","A",5,0.4,0.329369346601415,415.210960320458,320.142476625303,595.815688096711
"WestAfrica","A",5,0.5,0.411711683251769,332.168768256366,256.113981300243,476.652550477369
"WestAfrica","A",5,0.6,0.494054019902122,276.807306880305,213.428317750202,397.210458731141
"WestAfrica","A",5,0.7,0.576396356552476,237.263405897404,182.938558071602,340.466107483835
"WestAfrica","A",5,0.8,0.65873869320283,207.605480160229,160.071238312652,297.907844048356
"WestAfrica","A",5,0.9,0.741081029853183,184.53820458687,142.285545166801,264.806972487427
"WestAfrica","B",0,0.2,0.164684673300707,214.31471020522,209.039812725961,219.655534013673
"WestAfrica","B",0,0.3,0.247027009951061,142.876473470147,139.35987515064,146.437022675782
"WestAfrica","B",0,0.4,0.329369346601415,107.15735510261,104.51990636298,109.827767006836
"WestAfrica","B",0,0.5,0.411711683251769,85.7258840820882,83.6159250903843,87.8622136054692
"WestAfrica","B",0,0.6,0.494054019902122,71.4382367350735,69.6799375753202,73.218511337891
"WestAfrica","B",0,0.7,0.576396356552476,61.2327743443487,59.7256607788459,62.7587240039065
"WestAfrica","B",0,0.8,0.65873869320283,53.5786775513051,52.2599531814902,54.9138835034182
"WestAfrica","B",0,0.9,0.741081029853183,47.6254911567157,46.4532917168802,48.8123408919273
"WestAfrica","B",5,0.2,0.164684673300707,331.043913945753,322.895977177789,339.293684647688
"WestAfrica","B",5,0.3,0.247027009951061,220.695942630502,215.263984785193,226.195789765126
"WestAfrica","B",5,0.4,0.329369346601415,165.521956972877,161.447988588895,169.646842323844
"WestAfrica","B",5,0.5,0.411711683251769,132.417565578301,129.158390871116,135.717473859075
"WestAfrica","B",5,0.6,0.494054019902122,110.347971315251,107.631992392596,113.097894882563
"WestAfrica","B",5,0.7,0.576396356552476,94.5839754130724,92.2559934793683,96.9410527564824
"WestAfrica","B",5,0.8,0.65873869320283,82.7609784864383,80.7239942944473,84.8234211619221
"WestAfrica","B",5,0.9,0.741081029853183,73.5653142101674,71.7546615950642,75.3985965883752
