"scenario","particle_id","arm","pct_hcw_deaths_averted","pct_days_lost_averted","n_hcw_deaths","condition"
"DRC",22,"with_conflict_lo",22.3895582329317,26.4167092933857,77.3,"baseline"
"DRC",22,"with_conflict_mid",32.7981651376147,33.0904215326382,29.3,"baseline"
"DRC",23,"with_conflict_hi",33.4831460674157,37.3662401383736,29.6,"baseline"
"DRC",23,"with_conflict_lo",28.0685920577617,30.5636156362728,79.7,"baseline"
"DRC",23,"with_conflict_mid",29.5302013422819,29.9129022045243,73.5,"baseline"
"DRC",24,"with_conflict_hi",29.9319727891156,31.7874259145388,51.5,"baseline"
"DRC",24,"with_conflict_lo",34.1463414634146,29.7287996464914,21.6,"baseline"
"DRC",24,"with_conflict_mid",26.6355140186916,32.0189058169688,62.8,"baseline"
"DRC",25,"with_conflict_hi",31.8618042226488,34.1749663791318,71,"baseline"
"DRC",25,"with_conflict_lo",27.9816513761468,27.2252856238217,47.1,"baseline"
"DRC",25,"with_conflict_mid",39.7759103641457,36.0395428322813,21.5,"baseline"
"DRC",26,"with_conflict_hi",28.2994923857868,29.1518242565227,56.5,"baseline"
"DRC",26,"with_conflict_lo",27.5561097256858,26.9074962059845,58.1,"baseline"
"DRC",26,"with_conflict_mid",20.3187250996016,25.6808918110142,80,"baseline"
"DRC",27,"with_conflict_hi",30.1242236024845,32.5371285670727,67.5,"baseline"
"DRC",27,"with_conflict_lo",17.4050632911392,24.4875110835363,130.5,"baseline"
"DRC",27,"with_conflict_mid",25.3985122210414,29.1866380243439,70.2,"baseline"
"DRC",28,"with_conflict_hi",26.5415549597855,26.8223349276176,54.8,"baseline"
"DRC",28,"with_conflict_lo",27.7882797731569,28.0836984098723,38.2,"baseline"
"DRC",28,"with_conflict_mid",29.4755877034358,29.2239807483766,39,"baseline"
"DRC",29,"with_conflict_hi",30.4829770387965,33.7608665753217,87.8,"baseline"
"DRC",29,"with_conflict_lo",27.4014155712841,25.5961573365268,71.8,"baseline"
"DRC",29,"with_conflict_mid",27.4974253347065,26.5699631137487,70.4,"baseline"
"DRC",30,"with_conflict_hi",33.006993006993,33.8367725803415,47.9,"baseline"
"DRC",30,"with_conflict_lo",19.9203187250996,21.5329983598979,60.3,"baseline"
"DRC",30,"with_conflict_mid",24.0540540540541,26.2628164575682,56.2,"baseline"
"DRC",31,"with_conflict_hi",28.8315629742033,34.0732536588327,46.9,"baseline"
"DRC",31,"with_conflict_lo",21.2590299277606,28.2491374029396,76.3,"baseline"
"DRC",31,"with_conflict_mid",45.8823529411765,40.9876073718645,13.8,"baseline"
"DRC",32,"with_conflict_hi",29.7542043984476,30.8704908569436,54.3,"baseline"
"DRC",32,"with_conflict_lo",20.1933404940924,21.8145823272609,74.3,"baseline"
"DRC",32,"with_conflict_mid",30.0990099009901,34.3705122136216,35.3,"baseline"
"DRC",33,"with_conflict_hi",24.5379876796715,33.2425011956729,73.5,"baseline"
"DRC",33,"with_conflict_lo",27.9132791327913,27.9283276341379,26.6,"baseline"
"DRC",33,"with_conflict_mid",29.7814207650273,31.9228061126244,25.7,"baseline"
"DRC",34,"with_conflict_hi",30.0361881785283,34.6695059275987,58,"baseline"
"DRC",34,"with_conflict_lo",30.3370786516854,29.9445494990876,43.4,"baseline"
"DRC",34,"with_conflict_mid",28.9556962025316,29.7589338518409,44.9,"baseline"
"DRC",35,"with_conflict_hi",28.9036544850498,29.4886346112657,42.8,"baseline"
"DRC",35,"with_conflict_lo",24.9602543720191,24.8629855004258,47.2,"baseline"
"DRC",35,"with_conflict_mid",29.8206278026906,34.0748880674481,31.3,"baseline"
"DRC",36,"with_conflict_hi",27.2727272727273,32.5631753456707,34.4,"baseline"
"DRC",36,"with_conflict_lo",27.5071633237822,26.1112053028651,25.3,"baseline"
"DRC",36,"with_conflict_mid",27.8409090909091,32.1685369534864,25.4,"baseline"
"DRC",37,"with_conflict_hi",33.5,38.6852868504754,39.9,"baseline"
"DRC",37,"with_conflict_lo",27.7280858676208,29.178573877252,40.4,"baseline"
