"scenario","arm","week","metric","n","q025","q25","q50","q75","q975","method","iqr_width","ci95_width"
"DRC","obv",46.5,"hcw_deaths_incidence",200,0,0.3,0.6,1.1,2.0025,"mean_first",0.8,2.0025
"DRC","obv",46.5,"infections",200,10.635,48.525,74.05,109.9,212.235,"mean_first",61.375,201.6
"DRC","obv",47.5,"deaths",200,6.3775,29.575,49.95,70.525,143.1025,"mean_first",40.95,136.725
"DRC","obv",47.5,"hcw_deaths",200,7.4775,12.05,15.35,19.7,29.3075,"mean_first",7.65,21.83
"DRC","obv",47.5,"hcw_deaths_incidence",200,0.0975000000000001,0.375,0.7,1.1,2.2025,"mean_first",0.725,2.105
"DRC","obv",47.5,"infections",200,9.7525,42.8,68.15,97.15,192.635,"mean_first",54.35,182.8825
"DRC","obv",48.5,"deaths",200,7.6225,27.075,42.65,64.7,118.5675,"mean_first",37.625,110.945
"DRC","obv",48.5,"hcw_deaths",200,7.4825,12.3,16,20.75,31.4,"mean_first",8.45,23.9175
"DRC","obv",48.5,"hcw_deaths_incidence",200,0,0.4,0.7,1.1,2.1025,"mean_first",0.7,2.1025
"DRC","obv",48.5,"infections",200,8.78,38.375,61.1,81.425,159.935,"mean_first",43.05,151.155
"DRC","obv",49.5,"deaths",200,6.545,25.25,40.25,56.775,104.93,"mean_first",31.525,98.3850000000001
"DRC","obv",49.5,"hcw_deaths",200,7.985,12.9,16.6,21.3,32.6075,"mean_first",8.4,24.6225
"DRC","obv",49.5,"hcw_deaths_incidence",200,0,0.3,0.6,0.9,1.8,"mean_first",0.6,1.8
"DRC","obv",49.5,"infections",200,6.49,34.275,53.65,74.55,145.5575,"mean_first",40.275,139.0675
"DRC","obv",50.5,"deaths",200,3.9975,21.4,34.7,47.575,94.08,"mean_first",26.175,90.0825
"DRC","obv",50.5,"hcw_deaths",200,7.995,13.3,17.2,22.1,33.82,"mean_first",8.8,25.825
"DRC","obv",50.5,"hcw_deaths_incidence",200,0,0.3,0.5,0.8,1.7,"mean_first",0.5,1.7
"DRC","obv",50.5,"infections",200,6.6725,29.85,47.15,68.425,135.425,"mean_first",38.575,128.7525
"DRC","obv",51.5,"deaths",200,4.68,19.625,31.4,43.525,81.9575,"mean_first",23.9,77.2775
"DRC","obv",51.5,"hcw_deaths",200,8.1,13.575,17.5,23.05,34.64,"mean_first",9.475,26.54
"DRC","obv",51.5,"hcw_deaths_incidence",200,0,0.2,0.4,0.7,1.505,"mean_first",0.5,1.505
"DRC","obv",51.5,"infections",200,5.55,27.6,43.75,61.725,123.14,"mean_first",34.125,117.59
"DRC","obv",52.5,"deaths",200,3.2825,17.5,27.8,38.525,78.3775,"mean_first",21.025,75.095
"DRC","obv",52.5,"hcw_deaths",200,8.2,13.775,18,23.5,35.6425,"mean_first",9.725,27.4425
"DRC","obv",52.5,"hcw_deaths_incidence",200,0,0.2,0.4,0.6,1.4025,"mean_first",0.4,1.4025
"DRC","obv",52.5,"infections",200,3.49,24.775,39.8,54.6,110.605,"mean_first",29.825,107.115
"DRC","obv",53.5,"deaths",200,3.2875,15.65,24.9,35.7,70.1325,"mean_first",20.05,66.845
"DRC","obv",53.5,"hcw_deaths",200,8.4925,14,18.2,24.025,36.4525,"mean_first",10.025,27.96
"DRC","obv",53.5,"hcw_deaths_incidence",200,0,0.2,0.3,0.6,1.2,"mean_first",0.4,1.2
"DRC","obv",53.5,"infections",200,3.58,22.275,36,48.3,94.9275,"mean_first",26.025,91.3475
"DRC","obv",54.5,"deaths",200,1.8,14.225,23.45,32.375,62.5925,"mean_first",18.15,60.7925
"DRC","obv",54.5,"hcw_deaths",200,8.59,14.2,18.85,24.725,37.535,"mean_first",10.525,28.945
"DRC","obv",54.5,"hcw_deaths_incidence",200,0,0.1,0.3,0.6,1.1025,"mean_first",0.5,1.1025
"DRC","obv",54.5,"infections",200,2.7,19.125,31.8,44,80.6250000000001,"mean_first",24.875,77.9250000000001
"DRC","obv",55.5,"deaths",200,1.3975,12.8,20.2,28.15,52.3125,"mean_first",15.35,50.915
"DRC","obv",55.5,"hcw_deaths",200,8.785,14.45,19.1,25.325,38.72,"mean_first",10.875,29.935
"DRC","obv",55.5,"hcw_deaths_incidence",200,0,0.1,0.3,0.5,1.1,"mean_first",0.4,1.1
"DRC","obv",55.5,"infections",200,2.8925,15.9,27.5,39.525,75.05,"mean_first",23.625,72.1575
"DRC","obv",56.5,"deaths",200,1.5975,10.7,17.5,24.7,45.275,"mean_first",14,43.6775
"DRC","obv",56.5,"hcw_deaths",200,8.98,14.6,19.4,25.9,39.32,"mean_first",11.3,30.34
"DRC","obv",56.5,"hcw_deaths_incidence",200,0,0.1,0.2,0.4,0.702500000000001,"mean_first",0.3,0.702500000000001
"DRC","obv",56.5,"infections",200,2.09,14.425,24.3,34.85,68.165,"mean_first",20.425,66.075
"DRC","obv",57.5,"deaths",200,1.2925,9.275,15.2,21.725,42.2125,"mean_first",12.45,40.92
"DRC","obv",57.5,"hcw_deaths",200,9.08,14.7,19.5,26.025,40.11,"mean_first",11.325,31.03
"DRC","obv",57.5,"hcw_deaths_incidence",200,0,0.1,0.2,0.3,0.702500000000001,"mean_first",0.2,0.702500000000001
"DRC","obv",57.5,"infections",200,1.685,12.15,21.6,31.95,63.675,"mean_first",19.8,61.99
"DRC","obv",58.5,"deaths",200,1.4975,8.025,13.9,20.025,39.1175,"mean_first",12,37.62
"DRC","obv",58.5,"hcw_deaths",200,9.0825,14.875,19.7,26.475,40.6025,"mean_first",11.6,31.52
"DRC","obv",58.5,"hcw_deaths_incidence",200,0,0.1,0.2,0.325,0.802500000000001,"mean_first",0.225,0.802500000000001
"DRC","obv",58.5,"infections",200,1.8725,10.275,20.45,30.35,63.4175,"mean_first",20.075,61.545
"DRC","obv",59.5,"deaths",200,0.7,7.4,12.4,18.7,37.02,"mean_first",11.3,36.32
"DRC","obv",59.5,"hcw_deaths",200,9.0875,14.975,19.85,26.6,41.005,"mean_first",11.625,31.9175
"DRC","obv",59.5,"hcw_deaths_incidence",200,0,0.1,0.2,0.3,0.7,"mean_first",0.2,0.7
"DRC","obv",59.5,"infections",200,0.5,9.7,19.1,29.2,58.3175,"mean_first",19.5,57.8175
"DRC","obv",60.5,"deaths",200,0.8875,6.075,12.15,17.45,34.5675,"mean_first",11.375,33.68
"DRC","obv",60.5,"hcw_deaths",200,9.09,15.175,20.05,26.775,41.115,"mean_first",11.6,32.025
"DRC","obv",60.5,"hcw_deaths_incidence",200,0,0,0.1,0.3,0.8,"mean_first",0.3,0.8
"DRC","obv",60.5,"infections",200,0.3,8.575,17.45,26.6,55.4125,"mean_first",18.025,55.1125
"DRC","obv",61.5,"deaths",200,0.985,5.475,11.35,16.7,33.7025,"mean_first",11.225,32.7175
"DRC","obv",61.5,"hcw_deaths",200,9.09,15.475,20.05,27.325,41.7,"mean_first",11.85,32.61
"DRC","obv",61.5,"hcw_deaths_incidence",200,0,0,0.1,0.3,0.7,"mean_first",0.3,0.7
"DRC","obv",61.5,"infections",200,0.2975,7.775,16.15,24.55,52.39,"mean_first",16.775,52.0925
"DRC","obv",62.5,"deaths",200,0.3975,4.975,10.1,15.6,31.7275,"mean_first",10.625,31.33
"DRC","obv",62.5,"hcw_deaths",200,9.1925,15.575,20.1,27.725,41.8025,"mean_first",12.15,32.61
"DRC","obv",62.5,"hcw_deaths_incidence",200,0,0,0.1,0.3,0.7,"mean_first",0.3,0.7
"DRC","obv",62.5,"infections",200,0.1,7.275,14,22.8,45.4275,"mean_first",15.525,45.3275
"DRC","obv",63.5,"deaths",200,0.2975,4.8,9.3,13.925,30.2325,"mean_first",9.125,29.935
"DRC","obv",63.5,"hcw_deaths",200,9.195,15.575,20.4,27.925,41.81,"mean_first",12.35,32.615
"DRC","obv",63.5,"hcw_deaths_incidence",200,0,0,0.1,0.2,0.6,"mean_first",0.2,0.6
"DRC","obv",63.5,"infections",200,0.0975000000000001,6.675,12.95,20.025,43.02,"mean_first",13.35,42.9225
"DRC","obv",64.5,"deaths",200,0.1,4,8.1,13.4,26.3375,"mean_first",9.4,26.2375
"DRC","obv",64.5,"hcw_deaths",200,9.1975,15.675,20.7,28.1,42.105,"mean_first",12.425,32.9075
"DRC","obv",64.5,"hcw_deaths_incidence",200,0,0,0.1,0.2,0.6025,"mean_first",0.2,0.6025
"DRC","obv",64.5,"infections",200,0,6.425,11.2,18.925,35.78,"mean_first",12.5,35.78
"DRC","obv",65.5,"deaths",200,0.0975000000000001,3.8,7.05,11.725,23.7125,"mean_first",7.925,23.615
"DRC","obv",65.5,"hcw_deaths",200,9.2,15.775,20.9,28.25,42.205,"mean_first",12.475,33.005
"DRC","obv",65.5,"hcw_deaths_incidence",200,0,0,0.1,0.2,0.502500000000001,"mean_first",0.2,0.502500000000001
"DRC","obv",65.5,"infections",200,0,5.5,10.65,17.825,35.595,"mean_first",12.325,35.595
"DRC","obv",66.5,"deaths",200,0,3.4,6.5,10.85,21.1025,"mean_first",7.45,21.1025
"DRC","obv",66.5,"hcw_deaths",200,9.2975,15.875,21,28.4,42.5025,"mean_first",12.525,33.205
"DRC","obv",66.5,"hcw_deaths_incidence",200,0,0,0.1,0.2,0.5,"mean_first",0.2,0.5
"DRC","obv",66.5,"infections",200,0,4.575,9.95,16.3,31.8275,"mean_first",11.725,31.8275
"DRC","obv",67.5,"deaths",200,0,2.8,5.9,9.85,19.6375,"mean_first",7.05,19.6375
"DRC","obv",67.5,"hcw_deaths",200,9.2975,16,21.05,28.6,42.605,"mean_first",12.6,33.3075
"DRC","obv",67.5,"hcw_deaths_incidence",200,0,0,0.1,0.2,0.4,"mean_first",0.2,0.4
"DRC","obv",67.5,"infections",200,0,3.95,8.95,14.7,29.57,"mean_first",10.75,29.57
"DRC","obv",68.5,"deaths",200,0,2.575,5.65,8.9,17.525,"mean_first",6.325,17.525
"DRC","obv",68.5,"hcw_deaths",200,9.395,16.1,21.15,28.8,42.71,"mean_first",12.7,33.315
"DRC","obv",68.5,"hcw_deaths_incidence",200,0,0,0.1,0.2,0.3,"mean_first",0.2,0.3
"DRC","obv",68.5,"infections",200,0,3.375,7.65,12.925,26.71,"mean_first",9.55,26.71
"DRC","obv",69.5,"deaths",200,0,2,4.8,8,16.35,"mean_first",6,16.35
"DRC","obv",69.5,"hcw_deaths",200,9.395,16.3,21.25,28.825,42.9075,"mean_first",12.525,33.5125
"DRC","obv",69.5,"hcw_deaths_incidence",200,0,0,0,0.2,0.4,"mean_first",0.2,0.4
"DRC","obv",69.5,"infections",200,0,2.875,6.8,12.05,23.2025,"mean_first",9.175,23.2025
"DRC","obv",70.5,"deaths",200,0,2,4.7,7.825,15.24,"mean_first",5.825,15.24
"DRC","obv",70.5,"hcw_deaths",200,9.495,16.375,21.3,29.025,43.105,"mean_first",12.65,33.61
"DRC","obv",70.5,"hcw_deaths_incidence",200,0,0,0,0.2,0.4,"mean_first",0.2,0.4
"DRC","obv",70.5,"infections",200,0,2.625,6.85,10.875,22.225,"mean_first",8.25,22.225
"DRC","obv",71.5,"deaths",200,0,1.875,3.9,6.9,13.52,"mean_first",5.025,13.52
"DRC","obv",71.5,"hcw_deaths",200,9.495,16.4,21.45,29.125,43.3075,"mean_first",12.725,33.8125
"DRC","obv",71.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.4,"mean_first",0.1,0.4
"DRC","obv",71.5,"infections",200,0,2.15,5.5,10.05,21.615,"mean_first",7.9,21.615
"DRC","obv",72.5,"deaths",200,0,1.575,3.45,6.125,13.21,"mean_first",4.55,13.21
"DRC","obv",72.5,"hcw_deaths",200,9.4975,16.475,21.5,29.3,43.4075,"mean_first",12.825,33.91
"DRC","obv",72.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.4,"mean_first",0.1,0.4
"DRC","obv",72.5,"infections",200,0,1.675,4.6,9.325,21.215,"mean_first",7.65,21.215
"DRC","obv",73.5,"deaths",200,0,1.375,3.2,5.475,11.84,"mean_first",4.1,11.84
"DRC","obv",73.5,"hcw_deaths",200,9.4975,16.55,21.55,29.3,43.505,"mean_first",12.75,34.0075
"DRC","obv",73.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.302500000000001,"mean_first",0.1,0.302500000000001
"DRC","obv",73.5,"infections",200,0,1.4,3.95,8.825,19.33,"mean_first",7.425,19.33
"DRC","obv",74.5,"deaths",200,0,1.175,2.5,5.125,12.415,"mean_first",3.95,12.415
"DRC","obv",74.5,"hcw_deaths",200,9.5,16.675,21.6,29.325,43.705,"mean_first",12.65,34.205
"DRC","obv",74.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.4,"mean_first",0.1,0.4
"DRC","obv",74.5,"infections",200,0,1.375,3.6,8.6,18.04,"mean_first",7.225,18.04
"DRC","obv",75.5,"deaths",200,0,0.9,2.4,5.1,10.51,"mean_first",4.2,10.51
"DRC","obv",75.5,"hcw_deaths",200,9.5,16.675,21.65,29.5,43.805,"mean_first",12.825,34.305
"DRC","obv",75.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.3,"mean_first",0.1,0.3
"DRC","obv",75.5,"infections",200,0,1,3.3,7.325,20.03,"mean_first",6.325,20.03
"DRC","obv",76.5,"deaths",200,0,0.7,2.1,4.525,10.605,"mean_first",3.825,10.605
"DRC","obv",76.5,"hcw_deaths",200,9.5,16.675,21.65,29.725,43.9025,"mean_first",13.05,34.4025
"DRC","obv",76.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.302500000000001,"mean_first",0.1,0.302500000000001
"DRC","obv",76.5,"infections",200,0,0.975,2.95,6.725,17.2025,"mean_first",5.75,17.2025
"DRC","obv",77.5,"deaths",200,0,0.6,1.9,4.3,10.905,"mean_first",3.7,10.905
"DRC","obv",77.5,"hcw_deaths",200,9.5,16.85,21.65,29.825,43.9025,"mean_first",12.975,34.4025
"DRC","obv",77.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.3,"mean_first",0.1,0.3
"DRC","obv",77.5,"infections",200,0,0.675,2.6,6.55,17.9225,"mean_first",5.875,17.9225
"DRC","obv",78.5,"deaths",200,0,0.5,1.7,3.925,10.4025,"mean_first",3.425,10.4025
"DRC","obv",78.5,"hcw_deaths",200,9.5975,16.85,21.65,29.9,44.1075,"mean_first",13.05,34.51
"DRC","obv",78.5,"hcw_deaths_incidence",200,0,0,0,0,0.3,"mean_first",0,0.3
"DRC","obv",78.5,"infections",200,0,0.575,2.5,6.1,15.71,"mean_first",5.525,15.71
"DRC","obv",79.5,"deaths",200,0,0.4,1.5,3.55,9.705,"mean_first",3.15,9.705
"DRC","obv",79.5,"hcw_deaths",200,9.5975,16.85,21.7,29.925,44.21,"mean_first",13.075,34.6125
"DRC","obv",79.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.2,"mean_first",0.1,0.2
"DRC","obv",79.5,"infections",200,0,0.4,2.25,5.5,12.5025,"mean_first",5.1,12.5025
"WestAfrica","baseline",0.5,"deaths",200,0,0,0.1,0.1,0.202500000000001,"mean_first",0.1,0.202500000000001
"WestAfrica","baseline",0.5,"hcw_deaths",200,0,0,0,0,0,"mean_first",0,0
"WestAfrica","baseline",0.5,"hcw_deaths_incidence",200,0,0,0,0,0,"mean_first",0,0
"WestAfrica","baseline",0.5,"infections",200,30.6975,32.675,34.1,35.025,37.51,"mean_first",2.34999999999999,6.81250000000001
"WestAfrica","baseline",1.5,"deaths",200,3.3975,4.3,4.7,5.2,6.1,"mean_first",0.9,2.7025
"WestAfrica","baseline",1.5,"hcw_deaths",200,0,0,0,0,0,"mean_first",0,0
"WestAfrica","baseline",1.5,"hcw_deaths_incidence",200,0,0,0,0,0,"mean_first",0,0
"WestAfrica","baseline",1.5,"infections",200,13.8,18.7,20.75,23.725,29.5075,"mean_first",5.025,15.7075
"WestAfrica","baseline",2.5,"deaths",200,9.9,11.4,12.05,12.7,14.4,"mean_first",1.3,4.5
"WestAfrica","baseline",2.5,"hcw_deaths",200,0,0,0,0,0.1,"mean_first",0,0.1
"WestAfrica","baseline",2.5,"hcw_deaths_incidence",200,0,0,0,0,0.1,"mean_first",0,0.1
"WestAfrica","baseline",2.5,"infections",200,20.3875,25.1,28.3,32.2,41.9,"mean_first",7.1,21.5125
"WestAfrica","baseline",3.5,"deaths",200,9.8975,11.675,13.15,14.5,17.0025,"mean_first",2.825,7.105
"WestAfrica","baseline",3.5,"hcw_deaths",200,0,0,0.1,0.1,0.4,"mean_first",0.1,0.4
"WestAfrica","baseline",3.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.3,"mean_first",0.1,0.3
"WestAfrica","baseline",3.5,"infections",200,23.3825,30.2,34.95,38.65,50.6,"mean_first",8.45000000000001,27.2175
"WestAfrica","baseline",4.5,"deaths",200,11.6,14.4,16,18.1,22.42,"mean_first",3.7,10.82
"WestAfrica","baseline",4.5,"hcw_deaths",200,0,0.1,0.25,0.4,0.7,"mean_first",0.3,0.7
"WestAfrica","baseline",4.5,"hcw_deaths_incidence",200,0,0.1,0.1,0.3,0.5,"mean_first",0.2,0.5
"WestAfrica","baseline",4.5,"infections",200,24.895,36.475,41.1,48.125,62.55,"mean_first",11.65,37.655
"WestAfrica","baseline",5.5,"deaths",200,14.3,17.05,20.2,22.75,28.4025,"mean_first",5.7,14.1025
"WestAfrica","baseline",5.5,"hcw_deaths",200,0.2,0.4,0.6,0.8,1.3,"mean_first",0.4,1.1
"WestAfrica","baseline",5.5,"hcw_deaths_incidence",200,0.1,0.2,0.4,0.5,0.8,"mean_first",0.3,0.7
"WestAfrica","baseline",5.5,"infections",200,30.66,43.45,51,58.075,79.52,"mean_first",14.625,48.86
"WestAfrica","baseline",6.5,"deaths",200,15.885,21.5,24.95,27.7,37.01,"mean_first",6.2,21.125
"WestAfrica","baseline",6.5,"hcw_deaths",200,0.4,0.9,1.2,1.6,2.3025,"mean_first",0.7,1.9025
"WestAfrica","baseline",6.5,"hcw_deaths_incidence",200,0.1,0.4,0.6,0.8,1.3025,"mean_first",0.4,1.2025
"WestAfrica","baseline",6.5,"infections",200,35.395,50.875,61.15,72.225,98.5725,"mean_first",21.35,63.1775
"WestAfrica","baseline",7.5,"deaths",200,18.4975,25.7,29.5,34.925,45.705,"mean_first",9.225,27.2075
"WestAfrica","baseline",7.5,"hcw_deaths",200,0.8,1.5,2.1,2.525,3.7,"mean_first",1.025,2.9
"WestAfrica","baseline",7.5,"hcw_deaths_incidence",200,0.2,0.6,0.8,1,1.8,"mean_first",0.4,1.6
"WestAfrica","baseline",7.5,"infections",200,40.6475,61.225,74.3,87.625,120.3325,"mean_first",26.4,79.685
"WestAfrica","baseline",8.5,"deaths",200,21.0925,30.5,35.45,42.1,57.255,"mean_first",11.6,36.1625
"WestAfrica","baseline",8.5,"hcw_deaths",200,1.4,2.4,3.1,3.7,5.1025,"mean_first",1.3,3.7025
"WestAfrica","baseline",8.5,"hcw_deaths_incidence",200,0.3,0.7,1,1.3,2.0025,"mean_first",0.6,1.7025
"WestAfrica","baseline",8.5,"infections",200,49.3825,73.425,87.05,104.45,147.5,"mean_first",31.025,98.1175000000001
"WestAfrica","baseline",9.5,"deaths",200,24.7975,35.7,43.25,50.525,69.5475,"mean_first",14.825,44.75
"WestAfrica","baseline",9.5,"hcw_deaths",200,2.1,3.5,4.3,5.1,7.3075,"mean_first",1.6,5.2075
"WestAfrica","baseline",9.5,"hcw_deaths_incidence",200,0.3,0.8,1.2,1.5,2.3,"mean_first",0.7,2
"WestAfrica","baseline",9.5,"infections",200,53.0725,84.475,103.8,127.15,179.91,"mean_first",42.675,126.8375
"WestAfrica","baseline",10.5,"deaths",200,27.3975,43.8,51.95,61.825,87.945,"mean_first",18.025,60.5475
"WestAfrica","baseline",10.5,"hcw_deaths",200,3.095,4.575,5.75,6.8,10.405,"mean_first",2.225,7.31
"WestAfrica","baseline",10.5,"hcw_deaths_incidence",200,0.5,1,1.3,1.825,3.1025,"mean_first",0.825,2.6025
"WestAfrica","baseline",10.5,"infections",200,66.32,98.7,123.75,150.8,220.0725,"mean_first",52.1,153.7525
"WestAfrica","baseline",11.5,"deaths",200,32.5925,49.775,60.9,72.8,104.66,"mean_first",23.025,72.0675
"WestAfrica","baseline",11.5,"hcw_deaths",200,3.995,6.1,7.25,8.825,13.51,"mean_first",2.725,9.515
"WestAfrica","baseline",11.5,"hcw_deaths_incidence",200,0.7,1.3,1.7,2.2,3.8025,"mean_first",0.9,3.1025
"WestAfrica","baseline",11.5,"infections",200,70.88,117.225,147.4,182.25,262.1225,"mean_first",65.025,191.2425
"WestAfrica","baseline",12.5,"deaths",200,37.57,59.4,72.6,88.475,126.3825,"mean_first",29.075,88.8125
"WestAfrica","baseline",12.5,"hcw_deaths",200,4.895,7.6,9.3,11.2,17.4025,"mean_first",3.6,12.5075
"WestAfrica","baseline",12.5,"hcw_deaths_incidence",200,0.8,1.5,2.1,2.6,4.405,"mean_first",1.1,3.605
"WestAfrica","baseline",12.5,"infections",200,84.7975,131.6,174.5,211.125,320.2925,"mean_first",79.525,235.495
"WestAfrica","baseline",13.5,"deaths",200,44.5375,68.2,85.05,107.3,154.815,"mean_first",39.1,110.2775
"WestAfrica","baseline",13.5,"hcw_deaths",200,6.385,9.575,12.05,14.125,22.125,"mean_first",4.55,15.74
"WestAfrica","baseline",13.5,"hcw_deaths_incidence",200,0.9,1.875,2.5,3.3,5.7,"mean_first",1.425,4.8
"WestAfrica","baseline",13.5,"infections",200,98.645,155.875,207.2,254.4,379.365,"mean_first",98.525,280.72
"WestAfrica","baseline",14.5,"deaths",200,49.165,80.35,101.65,124.55,188.785,"mean_first",44.2,139.62
"WestAfrica","baseline",14.5,"hcw_deaths",200,7.8,11.9,14.9,17.95,28.5125,"mean_first",6.05,20.7125
"WestAfrica","baseline",14.5,"hcw_deaths_incidence",200,1.1925,2.3,2.95,3.9,6.415,"mean_first",1.6,5.2225
"WestAfrica","baseline",14.5,"infections",200,110.5875,176.15,240.85,302.8,455.88,"mean_first",126.65,345.2925
"WestAfrica","baseline",15.5,"deaths",200,55.385,89.675,118.8,147.775,219.615,"mean_first",58.1,164.23
"WestAfrica","baseline",15.5,"hcw_deaths",200,9.485,14.55,18.45,22.4,34.7225,"mean_first",7.85,25.2375
"WestAfrica","baseline",15.5,"hcw_deaths_incidence",200,1.3,2.5,3.4,4.5,7.805,"mean_first",2,6.505
"WestAfrica","baseline",15.5,"infections",200,128.0925,203.525,284.2,353.425,570.1675,"mean_first",149.9,442.075
"WestAfrica","baseline",16.5,"deaths",200,64.1725,103.05,140.4,175.125,262.9525,"mean_first",72.075,198.78
"WestAfrica","baseline",16.5,"hcw_deaths",200,11.39,17.6,22.8,28.05,45.0025,"mean_first",10.45,33.6125
"WestAfrica","baseline",16.5,"hcw_deaths_incidence",200,1.6,3,4.2,5.7,9.7,"mean_first",2.7,8.1
"WestAfrica","baseline",16.5,"infections",200,144.0975,232.725,325.95,412.825,655.925,"mean_first",180.1,511.8275
"WestAfrica","baseline",17.5,"deaths",200,74.8575,118.8,165.15,205.375,327.4375,"mean_first",86.575,252.58
"WestAfrica","baseline",17.5,"hcw_deaths",200,13.2,21.675,27.85,34.55,56.815,"mean_first",12.875,43.615
"WestAfrica","baseline",17.5,"hcw_deaths_incidence",200,1.8975,3.6,5,6.6,11.905,"mean_first",3,10.0075
"WestAfrica","baseline",17.5,"infections",200,165.47,270.675,380.6,475.75,799.5,"mean_first",205.075,634.03
"WestAfrica","baseline",18.5,"deaths",200,86.4375,137.95,192.35,239.125,377.5475,"mean_first",101.175,291.11
"WestAfrica","baseline",18.5,"hcw_deaths",200,15.975,25.925,33.4,42.35,70.4625,"mean_first",16.425,54.4875
"WestAfrica","baseline",18.5,"hcw_deaths_incidence",200,2.2,4.2,6,7.925,13.3225,"mean_first",3.725,11.1225
"WestAfrica","baseline",18.5,"infections",200,178.2725,299.3,441.7,554.575,930.865,"mean_first",255.275,752.5925
"WestAfrica","baseline",19.5,"deaths",200,95.44,156.925,220.75,275.425,457.7375,"mean_first",118.5,362.2975
"WestAfrica","baseline",19.5,"hcw_deaths",200,19.055,30.675,40.45,51.575,88.6025,"mean_first",20.9,69.5475
"WestAfrica","baseline",19.5,"hcw_deaths_incidence",200,2.695,4.9,6.95,9.325,15.9225,"mean_first",4.425,13.2275
"WestAfrica","baseline",19.5,"infections",200,197.17,337.825,492.7,633.95,1102.265,"mean_first",296.125,905.095
"WestAfrica","baseline",20.5,"deaths",200,109.0925,179.225,252.95,320.2,531.5025,"mean_first",140.975,422.41
"WestAfrica","baseline",20.5,"hcw_deaths",200,22.2775,37.325,48.4,62.675,107.8425,"mean_first",25.35,85.565
"WestAfrica","baseline",20.5,"hcw_deaths_incidence",200,3.1975,6.2,8.3,11.5,20.1175,"mean_first",5.3,16.92
"WestAfrica","baseline",20.5,"infections",200,217.495,375.5,556.2,709.825,1296.1225,"mean_first",334.325,1078.6275
"WestAfrica","baseline",21.5,"deaths",200,114.8625,195.75,288.25,358.425,632.015,"mean_first",162.675,517.1525
"WestAfrica","baseline",21.5,"hcw_deaths",200,25.5825,44.475,57.85,75.65,131.015,"mean_first",31.175,105.4325
"WestAfrica","baseline",21.5,"hcw_deaths_incidence",200,3.895,6.975,9.65,12.7,23.83,"mean_first",5.725,19.935
"WestAfrica","baseline",21.5,"infections",200,238.2825,418.15,628.3,805.65,1471.195,"mean_first",387.5,1232.9125
"WestAfrica","baseline",22.5,"deaths",200,129.6475,217.7,317.15,413.625,733.435,"mean_first",195.925,603.7875
"WestAfrica","baseline",22.5,"hcw_deaths",200,29.085,52.425,68.15,90,160.1775,"mean_first",37.575,131.0925
"WestAfrica","baseline",22.5,"hcw_deaths_incidence",200,4.295,7.775,10.8,15.075,28.3225,"mean_first",7.3,24.0275
"WestAfrica","baseline",22.5,"infections",200,262.6225,457.125,678.45,895.325,1537.01,"mean_first",438.2,1274.3875
"WestAfrica","baseline",23.5,"deaths",200,137.7025,239.55,362,461.7,838.345,"mean_first",222.15,700.6425
"WestAfrica","baseline",23.5,"hcw_deaths",200,33.8975,61.275,80.55,107.525,195.115,"mean_first",46.25,161.2175
"WestAfrica","baseline",23.5,"hcw_deaths_incidence",200,4.5,9,12.25,17.45,33.11,"mean_first",8.45,28.61
"WestAfrica","baseline",23.5,"infections",200,275.6925,496.4,750.05,1009.85,1675.3325,"mean_first",513.45,1399.64
"WestAfrica","baseline",24.5,"deaths",200,151.47,261.875,394.8,517.175,920.1675,"mean_first",255.3,768.6975
"WestAfrica","baseline",24.5,"hcw_deaths",200,40.1825,71.55,95.85,127.875,227.71,"mean_first",56.325,187.5275
"WestAfrica","baseline",24.5,"hcw_deaths_incidence",200,5.1975,9.875,14.2,20,36.9025,"mean_first",10.125,31.705
"WestAfrica","baseline",24.5,"infections",200,299.5775,533.8,818.65,1101.55,1869.34,"mean_first",567.75,1569.7625
"WestAfrica","baseline",25.5,"deaths",200,159.2875,284.35,430.55,573.1,957.352500000001,"mean_first",288.75,798.065000000001
"WestAfrica","baseline",25.5,"hcw_deaths",200,47.045,82.575,111.6,151.3,268.425,"mean_first",68.725,221.38
"WestAfrica","baseline",25.5,"hcw_deaths_incidence",200,5.6975,11.075,15.8,22.625,43.31,"mean_first",11.55,37.6125
"WestAfrica","baseline",25.5,"infections",200,320.2175,569.95,872.85,1180.975,2013.435,"mean_first",611.025,1693.2175
"WestAfrica","baseline",26.5,"deaths",200,169.6275,306.9,467.95,631.475,1057.4175,"mean_first",324.575,887.79
"WestAfrica","baseline",26.5,"hcw_deaths",200,52.05,94.275,129.5,176.425,314.91,"mean_first",82.15,262.86
"WestAfrica","baseline",26.5,"hcw_deaths_incidence",200,5.9975,11.975,17.6,24.625,47.0575,"mean_first",12.65,41.06
