"scenario","arm","week","metric","n","q025","q25","q50","q75","q975","method","iqr_width","ci95_width"
"DRC","baseline",12.5,"hcw_deaths",200,4.5,6.5,7.95,9.9,13.8,"mean_first",3.4,9.3
"DRC","baseline",12.5,"hcw_deaths_incidence",200,0.6,1.175,1.6,2.1,2.905,"mean_first",0.925,2.305
"DRC","baseline",12.5,"infections",200,47.5625,74.425,91.15,107.125,144.0725,"mean_first",32.7,96.51
"DRC","baseline",13.5,"deaths",200,29.475,44.85,55.1,63.725,86.115,"mean_first",18.875,56.64
"DRC","baseline",13.5,"hcw_deaths",200,5.4,8,9.45,11.65,16.4275,"mean_first",3.65,11.0275
"DRC","baseline",13.5,"hcw_deaths_incidence",200,0.7,1.2,1.5,2,3.4,"mean_first",0.8,2.7
"DRC","baseline",13.5,"infections",200,42.485,67.475,83.6,101.825,136.8775,"mean_first",34.35,94.3925
"DRC","baseline",14.5,"deaths",200,27.575,41.55,51.2,59.95,81.2325,"mean_first",18.4,53.6575
"DRC","baseline",14.5,"hcw_deaths",200,6.4975,9.575,11.4,13.9,18.665,"mean_first",4.325,12.1675
"DRC","baseline",14.5,"hcw_deaths_incidence",200,0.7975,1.3,1.7,2.2,3.4025,"mean_first",0.9,2.605
"DRC","baseline",14.5,"infections",200,38.25,61.025,75.9,92.95,124.315,"mean_first",31.925,86.065
"DRC","baseline",15.5,"deaths",200,23.4975,38.175,48.75,56.825,77.415,"mean_first",18.65,53.9175
"DRC","baseline",15.5,"hcw_deaths",200,7.695,11,13.25,15.925,21.3575,"mean_first",4.925,13.6625
"DRC","baseline",15.5,"hcw_deaths_incidence",200,0.7,1.4,1.9,2.4,3.4025,"mean_first",1,2.7025
"DRC","baseline",15.5,"infections",200,35.7,53.75,67.75,83.925,113.6575,"mean_first",30.175,77.9575
"DRC","baseline",16.5,"deaths",200,21.5675,33.85,41.75,50.6,68.2075,"mean_first",16.75,46.64
"DRC","baseline",16.5,"hcw_deaths",200,8.5975,12.375,15.1,17.8,23.2675,"mean_first",5.425,14.67
"DRC","baseline",16.5,"hcw_deaths_incidence",200,0.6,1.2,1.6,2.1,3.405,"mean_first",0.9,2.805
"DRC","baseline",16.5,"infections",200,29.7725,48.6,60.75,75.025,104.3675,"mean_first",26.425,74.595
"DRC","baseline",17.5,"deaths",200,18.795,30.275,38.45,46.45,64.82,"mean_first",16.175,46.025
"DRC","baseline",17.5,"hcw_deaths",200,9.3,13.5,16.85,19.5,26.04,"mean_first",6,16.74
"DRC","baseline",17.5,"hcw_deaths_incidence",200,0.5,1.2,1.45,1.9,3.1025,"mean_first",0.7,2.6025
"DRC","baseline",17.5,"infections",200,25.2875,44.725,56.4,69.725,99.7025,"mean_first",25,74.415
"DRC","baseline",18.5,"deaths",200,17.2875,27.95,34.55,42.15,57.505,"mean_first",14.2,40.2175
"DRC","baseline",18.5,"hcw_deaths",200,10.1925,14.8,18.35,21.45,28.31,"mean_first",6.65,18.1175
"DRC","baseline",18.5,"hcw_deaths_incidence",200,0.4,1.1,1.4,1.8,2.705,"mean_first",0.7,2.305
"DRC","baseline",18.5,"infections",200,23.395,40.05,49.95,62.075,85.755,"mean_first",22.025,62.36
