"scenario","particle_id","eff_name","efficacy","doses_B","n_prevented_hcw","ppe_efficacy","averted","base_pool","dda_B","dda_A","scenario_label"
"DRC",7,"obv_20",0.2,50,7,0.848796901199967,1.4,330.681053475797,714.285714285714,4724.01504965425,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_30",0.3,16,7,0.848796901199967,2.1,105.817937112255,152.380952380952,1007.78987725957,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_40",0.4,133,52,0.848796901199967,20.8,879.611602245621,127.884615384615,845.780386774636,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_50",0.5,69,35,0.848796901199967,17.5,456.3398537966,78.8571428571429,521.531261481829,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_60",0.6,24,16,0.848796901199967,9.6,158.726905668383,50,330.681053475797,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_70",0.7,18,15,0.848796901199967,10.5,119.045179251287,34.2857142857143,226.752722383404,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_80",0.8,30,18,0.848796901199967,14.4,198.408632085478,41.6666666666667,275.567544563165,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_20",0.2,271,63,0.33794254096245,12.6,409.330030650149,430.15873015873,649.730207381189,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_30",0.3,34,14,0.33794254096245,4.2,51.3550591959596,161.904761904762,244.547900933141,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_40",0.4,84,34,0.33794254096245,13.6,126.877205072371,123.529411764706,186.584125106428,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_50",0.5,279,136,0.33794254096245,68,421.413573990375,82.0588235294118,123.945168820698,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_60",0.6,114,68,0.33794254096245,40.8,172.190492598218,55.8823529411765,84.4071042148125,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_70",0.7,89,61,0.33794254096245,42.7,134.429419660012,41.6861826697892,62.9645993723709,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_80",0.8,310,250,0.33794254096245,200,468.23730443375,31,46.823730443375,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_20",0.2,83,17.6,0.785171791758489,3.52,386.355221594973,471.590909090909,2195.20012269871,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_30",0.3,58.2,17.1,0.785171791758489,5.13,270.91414333527,226.900584795322,1056.19549058585,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_40",0.4,104.6,41.3,0.785171791758489,16.52,486.900676853424,126.634382566586,589.468131783806,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_50",0.5,125.7,65.7,0.785171791758489,32.85,585.118691017929,76.5296803652968,356.23664597743,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_60",0.6,48.2,28.7,0.785171791758489,17.22,224.365321456358,55.9814169570267,260.586900646176,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_70",0.7,95.1,67.4,0.785171791758489,47.18,442.679296068457,40.3136922424756,187.655487947629,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_80",0.8,110,91.3,0.785171791758489,73.04,512.037040668036,30.1204819277108,140.207294816001,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_20",0.2,116.3,22.9,0.446952094728609,4.58,210.289197177104,507.860262008734,918.293437454603,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_30",0.3,232.3,70,0.446952094728609,21,420.035945866219,221.238095238095,400.034234158304,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_40",0.4,109.2,41,0.446952094728609,16.4,197.451249628029,133.170731707317,240.79420686345,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_50",0.5,66.8,32.4,0.446952094728609,16.2,120.785196658904,82.4691358024691,149.117526739388,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_60",0.6,124.1,75.2,0.446952094728609,45.12,224.392857864821,55.008865248227,99.4649192663212,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_70",0.7,121.1,82.2,0.446952094728609,57.54,218.96837298493,42.0924574209246,76.1099662790857,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_80",0.8,111.2,90.6,0.446952094728609,72.48,201.06757288129,30.6843267108168,55.4822220974861,"DRC (Middle, PlusPlus)"
"DRC",11,"obv_20",0.2,96,22,0.347246702400967,4.4,147.069345115695,436.363636363636,668.497023253158,"DRC (Middle, PlusPlus)"
"DRC",11,"obv_30",0.3,9,2,0.347246702400967,0.6,13.7877511045964,300,459.591703486546,"DRC (Middle, PlusPlus)"
"DRC",11,"obv_40",0.4,50,25,0.347246702400967,10,76.5986172477577,100,153.197234495515,"DRC (Middle, PlusPlus)"
"DRC",11,"obv_50",0.5,237,136,0.347246702400967,68,363.077445754371,69.7058823529412,106.787484045403,"DRC (Middle, PlusPlus)"
"DRC",11,"obv_60",0.6,22,15,0.347246702400967,9,33.7033915890134,48.8888888888889,74.8964257533631,"DRC (Middle, PlusPlus)"
"DRC",11,"obv_70",0.7,23,18,0.347246702400967,12.6,35.2353639339685,36.5079365079365,55.9291491015374,"DRC (Middle, PlusPlus)"
"DRC",11,"obv_80",0.8,9,6,0.347246702400967,4.8,13.7877511045964,37.5,57.4489629358183,"DRC (Middle, PlusPlus)"
"DRC",12,"obv_20",0.2,132,27,0.744739521205731,5.4,517.118829454157,488.888888888889,1915.25492390428,"DRC (Middle, PlusPlus)"
"DRC",12,"obv_30",0.3,28,14,0.744739521205731,4.2,109.691872914518,133.333333333333,522.342251973896,"DRC (Middle, PlusPlus)"
"DRC",12,"obv_40",0.4,145,61,0.744739521205731,24.4,568.047199021612,118.852459016393,465.612458214436,"DRC (Middle, PlusPlus)"
"DRC",12,"obv_50",0.5,74,39,0.744739521205731,19.5,289.899949845512,75.8974358974359,297.333281892833,"DRC (Middle, PlusPlus)"
"DRC",12,"obv_60",0.6,5,3,0.744739521205731,1.8,19.5878344490211,55.5555555555556,217.642604989123,"DRC (Middle, PlusPlus)"
"DRC",12,"obv_70",0.7,63,42,0.744739521205731,29.4,246.806714057666,42.8571428571429,167.895723848752,"DRC (Middle, PlusPlus)"
"DRC",12,"obv_80",0.8,57,41,0.744739521205731,32.8,223.30131271884,34.7560975609756,136.159337023683,"DRC (Middle, PlusPlus)"
"DRC",13,"obv_20",0.2,127.4,24.1,0.827573386229451,4.82,738.865058090936,528.630705394191,3065.8301165599,"DRC (Middle, PlusPlus)"
"DRC",13,"obv_30",0.3,71.3,20.9,0.827573386229451,6.27,413.509251506151,227.432216905901,1319.00877673414,"DRC (Middle, PlusPlus)"
"DRC",13,"obv_40",0.4,77.7,31.9,0.827573386229451,12.76,450.626491473043,121.786833855799,706.31111516151,"DRC (Middle, PlusPlus)"
"DRC",13,"obv_50",0.5,77.4,38.2,0.827573386229451,19.1,448.886620849595,81.0471204188482,470.038346439367,"DRC (Middle, PlusPlus)"
"DRC",13,"obv_60",0.6,100.3,59.9,0.827573386229451,35.94,581.696745106129,55.8152476349471,323.704365668408,"DRC (Middle, PlusPlus)"
"DRC",13,"obv_70",0.7,96.6,64.9,0.827573386229451,45.43,560.23834075027,42.5269645608629,246.638054479538,"DRC (Middle, PlusPlus)"
"DRC",13,"obv_80",0.8,106.7,87.8,0.827573386229451,70.24,618.813985073021,30.3815489749431,176.199881854505,"DRC (Middle, PlusPlus)"
"DRC",14,"obv_20",0.2,105.8,22.5,0.352938225650796,4.5,163.508345252523,470.222222222222,726.703756677882,"DRC (Middle, PlusPlus)"
"DRC",14,"obv_30",0.3,203.2,61.2,0.352938225650796,18.36,314.034931524695,221.350762527233,342.085982053045,"DRC (Middle, PlusPlus)"
"DRC",14,"obv_40",0.4,77,30.2,0.352938225650796,12.08,118.999457319889,127.483443708609,197.018969072665,"DRC (Middle, PlusPlus)"
"DRC",14,"obv_50",0.5,135.7,66.3,0.352938225650796,33.15,209.717225432584,81.8702865761689,126.526229521921,"DRC (Middle, PlusPlus)"
"DRC",14,"obv_60",0.6,98.2,59.3,0.352938225650796,35.58,151.7629442703,55.1995503091625,85.3080068973021,"DRC (Middle, PlusPlus)"
"DRC",14,"obv_70",0.7,143,101.5,0.352938225650796,71.05,220.998992165509,40.2533427163969,62.2094277735423,"DRC (Middle, PlusPlus)"
"DRC",14,"obv_80",0.8,119.9,96.4,0.352938225650796,77.12,185.299154969542,31.094398340249,48.054760106209,"DRC (Middle, PlusPlus)"
"DRC",15,"obv_20",0.2,25,11,0.488542573716507,2.2,48.8799237536985,227.272727272727,444.362943215441,"DRC (Middle, PlusPlus)"
"DRC",15,"obv_30",0.3,155,42,0.488542573716507,12.6,303.055527272931,246.031746031746,481.040519480842,"DRC (Middle, PlusPlus)"
"DRC",15,"obv_40",0.4,28,10,0.488542573716507,4,54.7455146041423,140,273.727573020711,"DRC (Middle, PlusPlus)"
"DRC",15,"obv_50",0.5,23,10,0.488542573716507,5,44.9695298534026,92,179.87811941361,"DRC (Middle, PlusPlus)"
