"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi","pct_averted_med","pct_averted_lo","pct_averted_hi","supply_ratio_med"
"WestAfrica","A",0,1000,9.88108039804245,6.5873869320283,13.1747738640566,1.69269074267155,0.939594005339934,3.9602717027903,0.0434593737015072
"WestAfrica","A",0,2000,19.7621607960849,13.9981972305601,26.3495477281132,3.25395857968676,1.89973136803303,7.27635206296843,0.0869187474030144
"WestAfrica","A",0,3000,29.6432411941273,20.5855841625884,39.5243215921698,4.97403916459762,2.84959705204955,11.397932632334,0.130378121104522
"WestAfrica","A",0,4000,39.5243215921698,27.1729710946167,51.2581045648452,6.68980736146991,3.81094195658237,15.8148154944648,0.173837494806029
"WestAfrica","A",0,5000,48.5819786237087,35.2013489180262,63.4035992207724,8.41551118586292,4.84961019228919,19.7473308562533,0.217296868507536
"WestAfrica","A",0,6000,57.2279239719958,40.1418891170474,76.578373084829,10.3227412084145,5.70982740952782,22.908072540108,0.260756242209043
"WestAfrica","A",0,7000,67.1090043700383,45.2882851576945,89.1355794240079,11.9040725398855,6.6138196091235,26.0011324798433,0.30421561591055
"WestAfrica","A",0,8000,77.4017964513325,51.2581045648452,102.104497446439,13.4208609580238,7.61349931189883,29.5776387830597,0.347674989612058
"WestAfrica","A",0,9000,83.9891833833608,57.4337798136217,113.01485705261,14.8274917339993,8.3911171515068,33.0600631615433,0.391134363313565
"WestAfrica","A",0,10000,92.2234170483962,62.3743200126429,124.54278418366,16.2866552988411,9.32768652352636,36.8771486937598,0.434593737015072
"WestAfrica","A",0,11000,100.869362396683,66.4914368451606,137.923413889342,17.8592638032807,10.269858956753,41.0572259774135,0.478053110716579
"WestAfrica","A",0,12000,108.280172695215,73.0788237771889,147.186926762507,19.3622692683883,11.1670237567336,44.7360776704446,0.521512484418086
"WestAfrica","A",0,13000,114.04413626074,77.4017964513325,158.097286368679,21.1508964155105,12.1878643720534,48.8732576377099,0.564971858119593
"WestAfrica","A",0,14000,121.04323487602,79.8720665508431,167.772510925096,22.7275084168754,12.8207193294022,52.2678323154889,0.608431231821101
"WestAfrica","A",0,15000,129.277468541055,83.1657600168572,177.03602379826,24.2865707159989,13.8003847640392,55.8408803998826,0.651890605522608
"WestAfrica","A",0,16000,136.276567156335,88.7238677407561,187.122960037929,26.1588844911603,14.784093440087,58.401296426066,0.695349979224115
"WestAfrica","A",0,17000,144.510800821371,92.2234170483962,197.004040435971,27.8007878196716,15.7517036646031,62.1865926907061,0.738809352925622
"WestAfrica","A",0,18000,152.745034486406,93.6644079397773,206.885120834014,29.242013360703,16.5718361458563,65.0972353563289,0.78226872662713
"WestAfrica","A",0,19000,159.332421418434,96.9581014057915,218.413047965063,30.7741880460906,17.3989259511105,68.0904131841138,0.825728100328637
"WestAfrica","A",0,20000,165.919808350463,101.075218238309,228.08827252148,32.4984496750326,18.3020237424954,71.750080706348,0.869187474030144
"WestAfrica","A",0,21000,171.683771915988,105.398190912453,240.233767177407,33.8072652391511,19.2274994112899,74.6733190396658,0.912646847731651
"WestAfrica","A",0,22000,177.03602379826,107.456749328712,250.938270941953,35.4354341995086,20.0717701615154,77.8016953360814,0.956106221433158
"WestAfrica","A",0,23000,183.623410730289,109.927019428222,261.436918864873,36.768903275591,20.8200523622897,80.4518238190956,0.999565595134666
"WestAfrica","A",0,24000,189.799085979065,110.956298636352,270.906287579664,38.4658648932866,21.6673616333144,82.3423366503537,1.04302496883617
