"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","baseline",17.5,"hcw_deaths",8.9875,13.5,16.25,18.725,27.8125
"DRC","baseline",17.5,"hcw_deaths_incidence",0.4,1,1.4,2,3.0375
"DRC","baseline",17.5,"infections",22.6,41.7,54.1,65.9,108.275
"DRC","baseline",18.5,"deaths",16.3,26.5,33.95,40.625,62.875
"DRC","baseline",18.5,"hcw_deaths",9.3,14.675,17.9,20.45,30.6875
"DRC","baseline",18.5,"hcw_deaths_incidence",0.3875,1.075,1.4,1.7,2.8125
"DRC","baseline",18.5,"infections",21.1875,37.275,48.5,60.225,99.1375
"DRC","baseline",19.5,"deaths",13.6625,24.15,30.75,37.5,62.025
"DRC","baseline",19.5,"hcw_deaths",9.9875,15.85,19.05,21.825,33.55
"DRC","baseline",19.5,"hcw_deaths_incidence",0.4,0.9,1.3,1.7,2.5
"DRC","baseline",19.5,"infections",17.6375,32.625,43.7,55.6,86.125
"DRC","baseline",20.5,"deaths",12.1625,20.45,27.55,34.5,53
"DRC","baseline",20.5,"hcw_deaths",10.6625,16.5,20,23.1,35.55
"DRC","baseline",20.5,"hcw_deaths_incidence",0.3,0.6,1,1.4,2.1125
"DRC","baseline",20.5,"infections",14.0875,27.45,38.35,49.725,73.0125
"DRC","baseline",21.5,"deaths",10.175,19.05,24.3,31.025,49.7625
"DRC","baseline",21.5,"hcw_deaths",11.275,17.275,21.05,24.225,36.9875
"DRC","baseline",21.5,"hcw_deaths_incidence",0.3,0.7,0.95,1.3,2.1
"DRC","baseline",21.5,"infections",11.6,22.875,31.6,42.625,64.6375
"DRC","baseline",22.5,"deaths",7.6875,15.35,20.7,27.925,41.9125
"DRC","baseline",22.5,"hcw_deaths",11.5,18.075,21.95,25,38.15
"DRC","baseline",22.5,"hcw_deaths_incidence",0.2,0.5,0.8,1.1,1.9125
"DRC","baseline",22.5,"infections",9.1,19.15,26,35.55,57.7
"DRC","baseline",23.5,"deaths",7.0875,12.475,17.15,22.725,38.4375
"DRC","baseline",23.5,"hcw_deaths",11.95,18.7,22.55,26.1,39.225
"DRC","baseline",23.5,"hcw_deaths_incidence",0.1,0.4,0.7,0.9,1.7
"DRC","baseline",23.5,"infections",7.1625,16.2,21.85,31.625,49.2625
"DRC","baseline",24.5,"deaths",5.0875,10.575,14.3,19.625,31.3125
"DRC","baseline",24.5,"hcw_deaths",12.175,19.1,23.05,26.725,40.0375
"DRC","baseline",24.5,"hcw_deaths_incidence",0.1,0.3,0.6,0.8,1.4
"DRC","baseline",24.5,"infections",5.5125,13.95,19.6,27.725,49.475
"DRC","baseline",25.5,"deaths",3.9875,9.375,12.5,17.5,27.6125
"DRC","baseline",25.5,"hcw_deaths",12.4625,19.675,23.65,27.2,41.125
"DRC","baseline",25.5,"hcw_deaths_incidence",0,0.3,0.5,0.725,1.5125
"DRC","baseline",25.5,"infections",5.0875,12.1,16.6,24.675,43.8125
"DRC","baseline",26.5,"deaths",3.125,7.675,10.7,15.25,26.5125
"DRC","baseline",26.5,"hcw_deaths",12.875,19.975,24.05,27.925,42.5375
"DRC","baseline",26.5,"hcw_deaths_incidence",0,0.2,0.4,0.7,1.3125
"DRC","baseline",26.5,"infections",3.5875,9.775,15.1,23,41.725
"DRC","baseline",27.5,"deaths",2.8875,6.625,9.2,13,23.375
"DRC","baseline",27.5,"hcw_deaths",13.1,20.175,24.45,28.35,43.35
"DRC","baseline",27.5,"hcw_deaths_incidence",0,0.2,0.4,0.6,1.1
"DRC","baseline",27.5,"infections",3.1875,8.075,13.25,21.425,34.85
"DRC","baseline",28.5,"deaths",2,5.475,8.2,12.725,23.2375
"DRC","baseline",28.5,"hcw_deaths",13.3625,20.4,24.85,28.9,44.2125
"DRC","baseline",28.5,"hcw_deaths_incidence",0,0.2,0.3,0.5,1.3
"DRC","baseline",28.5,"infections",2.575,7.5,12.15,19.4,31.05
"DRC","baseline",29.5,"deaths",1.6,4.375,6.8,10.375,17.6625
"DRC","baseline",29.5,"hcw_deaths",13.3625,20.6,25.05,29.25,44.7375
"DRC","baseline",29.5,"hcw_deaths_incidence",0,0.1,0.2,0.4,0.9
"DRC","baseline",29.5,"infections",2.0875,8.275,14.1,20.9,33.625
"DRC","baseline",30.5,"deaths",1.4875,4.175,7.05,11.075,18.475
"DRC","baseline",30.5,"hcw_deaths",13.4625,21.175,25.2,29.625,45.35
"DRC","baseline",30.5,"hcw_deaths_incidence",0,0.175,0.3,0.6,1.2
"DRC","baseline",30.5,"infections",2.7875,9.875,15.95,24.25,41.275
"DRC","baseline",31.5,"deaths",1.5,5.3,8.6,12.9,20.975
"DRC","baseline",31.5,"hcw_deaths",13.775,21.675,25.7,30.1,46.4
"DRC","baseline",31.5,"hcw_deaths_incidence",0,0.2,0.4,0.6,1.4125
"DRC","baseline",31.5,"infections",2.4625,11.375,18.65,29.125,50.275
"DRC","baseline",32.5,"deaths",1.4875,5.775,9.15,14.55,24.175
"DRC","baseline",32.5,"hcw_deaths",13.7875,22.05,26.25,30.625,47.025
"DRC","baseline",32.5,"hcw_deaths_incidence",0,0.2,0.4,0.6,1.4
"DRC","baseline",32.5,"infections",3.575,12.775,22.3,33.525,60.875
"DRC","baseline",33.5,"deaths",1.7625,6.45,11.45,16.8,30.45
"DRC","baseline",33.5,"hcw_deaths",13.7875,22.325,26.55,31.2,47.975
"DRC","baseline",33.5,"hcw_deaths_incidence",0,0.1,0.35,0.6,1.1
"DRC","baseline",33.5,"infections",3.85,15.275,27.25,39.975,71.475
"DRC","baseline",34.5,"deaths",1.7875,7.95,12.95,19.625,36.275
"DRC","baseline",34.5,"hcw_deaths",13.8875,22.6,27.05,31.65,48.7375
"DRC","baseline",34.5,"hcw_deaths_incidence",0,0.1,0.3,0.6,1.3
"DRC","baseline",34.5,"infections",3.9375,18.175,32.8,47.475,91.7625
"DRC","baseline",35.5,"deaths",2.375,9,16.05,23.25,43.75
"DRC","baseline",35.5,"hcw_deaths",13.975,22.8,27.5,32.275,49.3375
"DRC","baseline",35.5,"hcw_deaths_incidence",0,0.2,0.4,0.7,1.5
"DRC","baseline",35.5,"infections",4.75,19.525,38.1,55.05,109.775
"DRC","baseline",36.5,"deaths",2.475,10.85,18.9,27.975,51.75
"DRC","baseline",36.5,"hcw_deaths",13.975,23.15,28.25,32.9,50.0875
"DRC","baseline",36.5,"hcw_deaths_incidence",0,0.2,0.5,0.8,1.8125
"DRC","baseline",36.5,"infections",4.9875,24.875,46.4,66.675,128.1875
"DRC","baseline",37.5,"deaths",2.6875,12.3,23.15,32.55,65.3625
"DRC","baseline",37.5,"hcw_deaths",13.9875,23.7,28.95,33.425,52.9375
"DRC","baseline",37.5,"hcw_deaths_incidence",0,0.3,0.6,0.9,1.9
"DRC","baseline",37.5,"infections",5.55,28.65,54.25,79.2,157.05
"DRC","baseline",38.5,"deaths",3.0875,13.8,26.4,39.125,74.775
"DRC","baseline",38.5,"hcw_deaths",13.9875,24.1,29.55,34.7,55.0125
"DRC","baseline",38.5,"hcw_deaths_incidence",0,0.3,0.6,1.2,2.0125
"DRC","baseline",38.5,"infections",5.6,33.5,63.75,94.55,191.025
"DRC","baseline",39.5,"deaths",3.5375,15.675,31.35,47.175,92.7625
"DRC","baseline",39.5,"hcw_deaths",14.1625,24.475,30.4,35.725,57.475
"DRC","baseline",39.5,"hcw_deaths_incidence",0,0.3,0.7,1.3,2.5
"DRC","baseline",39.5,"infections",7.05,39.125,77.15,112.35,217.9375
"DRC","baseline",40.5,"deaths",3.675,19.875,38.05,55.625,111.3
"DRC","baseline",40.5,"hcw_deaths",14.275,24.95,31.2,36.925,60.725
"DRC","baseline",40.5,"hcw_deaths_incidence",0.1,0.4,0.9,1.4,2.8375
"DRC","baseline",40.5,"infections",7.675,46,87.7,131.1,249.1125
"DRC","baseline",41.5,"deaths",3.7,22.925,44.9,64.775,133.2125
"DRC","baseline",41.5,"hcw_deaths",15.0875,25.375,32.4,38.325,64.5
"DRC","baseline",41.5,"hcw_deaths_incidence",0,0.6,1.1,1.9,3.825
"DRC","baseline",41.5,"infections",9.5375,52.075,103.7,152.675,275.7125
"DRC","baseline",42.5,"deaths",4.6625,26.275,52.2,78.075,147.475
"DRC","baseline",42.5,"hcw_deaths",15.1125,25.875,33.9,40.475,68.8375
"DRC","baseline",42.5,"hcw_deaths_incidence",0.0875,0.6,1.3,2.2,4.2375
"DRC","baseline",42.5,"infections",10.875,60.25,122.3,174.775,314.925
"DRC","baseline",43.5,"deaths",5.6125,34.25,64.3,94.55,173.6125
"DRC","baseline",43.5,"hcw_deaths",15.1375,26.9,35.8,43.65,71.65
"DRC","baseline",43.5,"hcw_deaths_incidence",0.1,0.7,1.65,2.6,5.7125
"DRC","baseline",43.5,"infections",13.025,60.8,123.2,177.325,346.4875
