"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",113,"cov_conflict_lo",37.7,194497.77712997,158,535,288977.696946824,29.5327102803738,32.6945369193109
"DRC",113,"cov_conflict_mid",15.4,53328.4928026501,83,237,88934.4307581658,35.0210970464135,40.0361678283373
"DRC",113,"dpc_conflict_hi",33.1,102838.084387615,440,771,231126.593248654,57.0687418936446,55.5057326194488
"DRC",113,"dpc_conflict_lo",45.6,228274.170418517,508,964,475950.450515495,52.6970954356846,52.038248903583
"DRC",113,"dpc_conflict_mid",28.9,119685.262238051,425,714,272558.877359784,59.5238095238095,56.0882905750804
"DRC",113,"no_pep",34.2,162278.972071797,0,342,162278.972071797,0,0
"DRC",113,"optimistic_hi",12.5,55336.6469537084,576,701,295368.760398444,82.1683309557775,81.2652337102066
"DRC",113,"optimistic_lo",11.8,69512.2654473036,594,712,401087.434045471,83.4269662921348,82.6690493027455
"DRC",113,"optimistic_mid",5.4,22036.5306016223,253,307,129647.754733453,82.4104234527687,83.0027672697241
"DRC",113,"with_conflict_hi",50.4,214096.216955722,228,732,314961.313943319,31.1475409836066,32.0245987434981
"DRC",113,"with_conflict_lo",32.4,235384.151744811,183,507,358696.83101376,36.094674556213,34.3779672991364
"DRC",113,"with_conflict_mid",49.9,174717.971257167,189,688,249039.185282667,27.4709302325581,29.8431806790337
"DRC",114,"cov_conflict_hi",7,1477.73340374753,2,9,1797.51620145585,22.2222222222222,17.7902595508911
"DRC",114,"cov_conflict_lo",146,56278.938869856,27,173,67924.2218381186,15.606936416185,17.1445217230702
"DRC",114,"cov_conflict_mid",3,513.817540701374,1,4,581.039164726854,25,11.5692070528638
"DRC",114,"dpc_conflict_hi",77,19436.5535405514,105,182,42096.769163158,57.6923076923077,53.8288711297071
"DRC",114,"dpc_conflict_lo",30,10158.642056851,17,47,15337.9285992478,36.1702127659574,33.7678357861887
"DRC",114,"dpc_conflict_mid",16,6866.40002961896,18,34,15817.0601021834,52.9411764705882,56.5886455178159
"DRC",114,"no_pep",20.3,61081.159320667,0,203,61081.159320667,0,0
"DRC",114,"optimistic_hi",4,2665.92833845886,25,29,12292.1204941325,86.2068965517241,78.3118922424214
"DRC",114,"optimistic_lo",12,6225.34792534071,60,72,35308.3702041407,83.3333333333333,82.3686341528994
"DRC",114,"optimistic_mid",1,668.501774005559,20,21,4798.51283726314,95.2380952380952,86.0685633929273
"DRC",114,"with_conflict_hi",0,104.861925266376,4,4,704.159914379917,100,85.1082228447046
"DRC",114,"with_conflict_lo",173,30533.0653824458,15,188,36204.3375332186,7.97872340425532,15.6646206979185
"DRC",114,"with_conflict_mid",108,63046.1613094254,42,150,96605.7527674586,28,34.7387091313445
"DRC",115,"cov_conflict_hi",39,204122.948137874,212,602,316070.278981776,35.2159468438538,35.4184933820864
"DRC",115,"cov_conflict_lo",60.3,257868.416908109,256,859,375837.234567258,29.802095459837,31.3882731164142
"DRC",115,"cov_conflict_mid",119.3,395359.103180124,440,1633,595048.938293437,26.9442743417024,33.5585566602322
"DRC",115,"dpc_conflict_hi",31,79528.2464238759,359,669,161666.00036458,53.6621823617339,50.8070675067556
"DRC",115,"dpc_conflict_lo",37.8,217336.350484534,400,778,424801.193370721,51.413881748072,48.8381026522057
"DRC",115,"dpc_conflict_mid",27.5,109502.410622632,432,707,244812.756594274,61.1032531824611,55.2709539543689
"DRC",115,"no_pep",122.4,568591.309216589,0,1224,568591.309216589,0,0
"DRC",115,"optimistic_hi",22.3,99168.7185421652,997,1220,573131.068253837,81.7213114754098,82.6970262065354
"DRC",115,"optimistic_lo",8.1,63999.5429546957,418,499,337889.744353753,83.7675350701403,81.0590454359303
