"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","no_pep",19.5,"infections",0,12.75,41.5,76.5,217.575
"DRC","no_pep",20.5,"deaths",0,10.5,29.5,49,138.175
"DRC","no_pep",20.5,"hcw_deaths",1.975,10,22,32,73.075
"DRC","no_pep",20.5,"hcw_deaths_incidence",0,0,1,2,6.02500000000001
"DRC","no_pep",20.5,"infections",0,12,37,72.25,189.6
"DRC","no_pep",21.5,"deaths",0,8,23,44,123.25
"DRC","no_pep",21.5,"hcw_deaths",1.975,11,23,34,80.05
"DRC","no_pep",21.5,"hcw_deaths_incidence",0,0,1,2,6
"DRC","no_pep",21.5,"infections",0,7.75,28,64,160.175
"DRC","no_pep",22.5,"deaths",0,6,19,39,100.125
"DRC","no_pep",22.5,"hcw_deaths",1.975,11,23,35,83.025
"DRC","no_pep",22.5,"hcw_deaths_incidence",0,0,0,1,5
"DRC","no_pep",22.5,"infections",0,5,25,49.75,145.4
"DRC","no_pep",23.5,"deaths",0,5,15.5,33,89.05
"DRC","no_pep",23.5,"hcw_deaths",1.975,12,24,35.25,86
"DRC","no_pep",23.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",23.5,"infections",0,4,19,44.25,128.125
"DRC","no_pep",24.5,"deaths",0,3,13,29,76.2
"DRC","no_pep",24.5,"hcw_deaths",1.975,12,24.5,36.25,86.025
"DRC","no_pep",24.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",24.5,"infections",0,2,19,36.5,126.025
"DRC","no_pep",25.5,"deaths",0,2,12,24,73.3000000000001
"DRC","no_pep",25.5,"hcw_deaths",1.975,12,25,38,88.075
"DRC","no_pep",25.5,"hcw_deaths_incidence",0,0,0,1,5
"DRC","no_pep",25.5,"infections",0,1,14,33,103.375
"DRC","no_pep",26.5,"deaths",0,1,9.5,22,63.025
"DRC","no_pep",26.5,"hcw_deaths",1.975,12,25,38.25,91.075
"DRC","no_pep",26.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",26.5,"infections",0,0,12,29,89.2
"DRC","no_pep",27.5,"deaths",0,1,9,20,58.05
"DRC","no_pep",27.5,"hcw_deaths",1.975,12.75,26,39,93.05
"DRC","no_pep",27.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",27.5,"infections",0,0,10,26.25,87.025
"DRC","no_pep",28.5,"deaths",0,0,6,17,54.05
"DRC","no_pep",28.5,"hcw_deaths",1.975,12.75,26.5,39.25,97
"DRC","no_pep",28.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",28.5,"infections",0,0,9,24.25,73.175
"DRC","no_pep",29.5,"deaths",0,0,5,13,43.025
"DRC","no_pep",29.5,"hcw_deaths",2,13,27,41,97.05
"DRC","no_pep",29.5,"hcw_deaths_incidence",0,0,0,0,3
"DRC","no_pep",29.5,"infections",0,0,10,28.25,85.2750000000001
"DRC","no_pep",30.5,"deaths",0,0,6,14,41.075
"DRC","no_pep",30.5,"hcw_deaths",2,13,27,41,97.125
"DRC","no_pep",30.5,"hcw_deaths_incidence",0,0,0,1,3
"DRC","no_pep",30.5,"infections",0,0,10,36.25,108.65
"DRC","no_pep",31.5,"deaths",0,0,6,17.25,52.075
"DRC","no_pep",31.5,"hcw_deaths",2,13,28,41.25,99.075
"DRC","no_pep",31.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",31.5,"infections",0,0,10,45,119.225
"DRC","no_pep",32.5,"deaths",0,0,6,21,62.2
"DRC","no_pep",32.5,"hcw_deaths",2,13,28,42.25,103
"DRC","no_pep",32.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",32.5,"infections",0,0,11,52.25,152.15
"DRC","no_pep",33.5,"deaths",0,0,6,26,74.2250000000001
