"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","cov_conflict_hi",0.5,"deaths",0,0,0,0.1,0.3
"DRC","cov_conflict_hi",0.5,"hcw_deaths",0,0,0,0,0
"DRC","cov_conflict_hi",0.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","cov_conflict_hi",0.5,"infections",30.8,33,34,35.125,37.3025
"DRC","cov_conflict_hi",1.5,"deaths",3.5975,4.2,4.6,5,5.705
"DRC","cov_conflict_hi",1.5,"hcw_deaths",0,0,0,0,0
"DRC","cov_conflict_hi",1.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","cov_conflict_hi",1.5,"infections",13.9,18.475,21.3,23.925,30.205
"DRC","cov_conflict_hi",2.5,"deaths",10.1,11.175,12.1,12.8,14.7
"DRC","cov_conflict_hi",2.5,"hcw_deaths",0,0,0,0,0.102500000000001
"DRC","cov_conflict_hi",2.5,"hcw_deaths_incidence",0,0,0,0,0.102500000000001
"DRC","cov_conflict_hi",2.5,"infections",19.8,25.8,29,32.475,40.735
"DRC","cov_conflict_hi",3.5,"deaths",9.8,11.975,13.5,14.8,17.3075
"DRC","cov_conflict_hi",3.5,"hcw_deaths",0,0,0.1,0.1,0.3
"DRC","cov_conflict_hi",3.5,"hcw_deaths_incidence",0,0,0,0.1,0.3
"DRC","cov_conflict_hi",3.5,"infections",23.9,29.8,32.6,38.225,48.125
"DRC","cov_conflict_hi",4.5,"deaths",11.4975,14.7,16.4,18.025,22.4075
"DRC","cov_conflict_hi",4.5,"hcw_deaths",0,0.1,0.3,0.4,0.7
"DRC","cov_conflict_hi",4.5,"hcw_deaths_incidence",0,0.1,0.2,0.3,0.502500000000001
"DRC","cov_conflict_hi",4.5,"infections",26.6975,34.475,38.45,44.05,58.4325
"DRC","cov_conflict_hi",5.5,"deaths",14.395,17.4,19.1,21.95,28.8075
"DRC","cov_conflict_hi",5.5,"hcw_deaths",0.2,0.4,0.6,0.8,1.3025
"DRC","cov_conflict_hi",5.5,"hcw_deaths_incidence",0,0.2,0.3,0.5,0.9
"DRC","cov_conflict_hi",5.5,"infections",30.3825,39.5,45.9,52.1,69.955
"DRC","cov_conflict_hi",6.5,"deaths",15.79,20.375,23.05,25.7,34.5125
"DRC","cov_conflict_hi",6.5,"hcw_deaths",0.5,0.9,1.2,1.6,2.5
"DRC","cov_conflict_hi",6.5,"hcw_deaths_incidence",0.1,0.4,0.6,0.8,1.4
"DRC","cov_conflict_hi",6.5,"infections",32.9925,45.25,52.35,59.825,81.0125
"DRC","cov_conflict_hi",7.5,"deaths",17.5875,23.4,26.3,29.8,39.6175
"DRC","cov_conflict_hi",7.5,"hcw_deaths",0.9,1.4,1.9,2.5,3.405
"DRC","cov_conflict_hi",7.5,"hcw_deaths_incidence",0.2,0.5,0.7,1,1.5
"DRC","cov_conflict_hi",7.5,"infections",38.3725,54,60.4,70.725,93.4325
"DRC","cov_conflict_hi",8.5,"deaths",20.395,26.875,30.9,35.575,45.94
"DRC","cov_conflict_hi",8.5,"hcw_deaths",1.4,2.175,2.8,3.5,4.9
"DRC","cov_conflict_hi",8.5,"hcw_deaths_incidence",0.2,0.6,0.9,1.1,1.8025
"DRC","cov_conflict_hi",8.5,"infections",44.4725,62.075,73.2,84.425,115.3425
"DRC","cov_conflict_hi",9.5,"deaths",22.8875,31.275,35.55,42.225,55.4075
"DRC","cov_conflict_hi",9.5,"hcw_deaths",1.9975,2.9,3.8,4.8,6.6025
"DRC","cov_conflict_hi",9.5,"hcw_deaths_incidence",0.3,0.8,1,1.3,2.0025
"DRC","cov_conflict_hi",9.5,"infections",50.595,69.825,84.05,99.625,133.2175
"DRC","cov_conflict_hi",10.5,"deaths",26.3775,37.175,42.7,49.925,67.0125
"DRC","cov_conflict_hi",10.5,"hcw_deaths",2.6975,3.9,5,6.025,8.6
"DRC","cov_conflict_hi",10.5,"hcw_deaths_incidence",0.4,0.9,1.2,1.5,2.2
"DRC","cov_conflict_hi",10.5,"infections",52.68,76.45,93.05,108.85,146.745
"DRC","cov_conflict_hi",11.5,"deaths",29.5875,41.85,49.2,57.425,77.305
"DRC","cov_conflict_hi",11.5,"hcw_deaths",3.4,4.9,6,7.55,10.505
"DRC","cov_conflict_hi",11.5,"hcw_deaths_incidence",0.3,0.8,1.2,1.6,2.305
"DRC","cov_conflict_hi",11.5,"infections",54.7375,79.775,96.85,115.025,152.9575
"DRC","cov_conflict_hi",12.5,"deaths",33.1675,46.075,55.6,66.975,87.5575
"DRC","cov_conflict_hi",12.5,"hcw_deaths",4.1975,5.8,7.2,9.2,12.6025
"DRC","cov_conflict_hi",12.5,"hcw_deaths_incidence",0.4,0.9,1.2,1.6,2.3
"DRC","cov_conflict_hi",12.5,"infections",46.7675,74.525,91.1,107.375,151.8425
"DRC","cov_conflict_hi",13.5,"deaths",31.4925,44.75,54.85,63.975,88.3025
"DRC","cov_conflict_hi",13.5,"hcw_deaths",4.79,6.5,8.2,10.15,14.2025
"DRC","cov_conflict_hi",13.5,"hcw_deaths_incidence",0.3,0.7,0.9,1.3,2.2025
"DRC","cov_conflict_hi",13.5,"infections",47.9225,67.525,82.4,101.825,139.8025
"DRC","cov_conflict_hi",14.5,"deaths",28.0325,41.275,50.35,59.725,82.035
"DRC","cov_conflict_hi",14.5,"hcw_deaths",5.195,7.375,8.9,11.2,15.3075
"DRC","cov_conflict_hi",14.5,"hcw_deaths_incidence",0.2,0.5,0.7,1,1.6025
"DRC","cov_conflict_hi",14.5,"infections",41.9925,61.2,75.1,93.025,131.1925
"DRC","cov_conflict_hi",15.5,"deaths",25.4925,38.575,47.45,57.275,77.125
"DRC","cov_conflict_hi",15.5,"hcw_deaths",5.7975,8,9.85,12,16.0275
"DRC","cov_conflict_hi",15.5,"hcw_deaths_incidence",0.2,0.5,0.7,1,1.6
"DRC","cov_conflict_hi",15.5,"infections",36.0975,52.55,66.75,82.125,119.7225
"DRC","cov_conflict_hi",16.5,"deaths",23.7,33.575,41.55,50.625,74.3075
"DRC","cov_conflict_hi",16.5,"hcw_deaths",6,8.5,10.45,12.8,17.1175
"DRC","cov_conflict_hi",16.5,"hcw_deaths_incidence",0.2,0.4,0.6,0.8,1.3025
"DRC","cov_conflict_hi",16.5,"infections",32.59,47.05,59.9,75.6,109.7925
"DRC","cov_conflict_hi",17.5,"deaths",20.575,30.15,37.05,45.725,66.3025
"DRC","cov_conflict_hi",17.5,"hcw_deaths",6.3925,8.93333333333333,11.1,13.425,17.82
"DRC","cov_conflict_hi",17.5,"hcw_deaths_incidence",0.1,0.4,0.5,0.8,1.20055555555556
"DRC","cov_conflict_hi",17.5,"infections",28.8,42.675,53.85,69.025,104.3675
