"hcw_factor","frac_particles_saturated","median_prob_hcw","max_uncapped_prob_hcw"
1,0,0.49435342616962,0.732669269502393
1.25,0,0.617941782712025,0.915836586877991
1.5,0.055,0.741530139254431,1.09900390425359
2,0.485,0.988706852339241,1.46533853900479
