"scenario","particle_id","ppe_efficacy"
"WestAfrica",1,0.646811043568257
"WestAfrica",2,0.541093265072487
"WestAfrica",3,0.494075235491619
"WestAfrica",4,0.42385564341393
"WestAfrica",5,0.646811043568257
"WestAfrica",6,0.540749555267394
"WestAfrica",7,0.552615463687107
"WestAfrica",8,0.588344991859049
"WestAfrica",9,0.401971134911137
"WestAfrica",10,0.660368705736338
"WestAfrica",11,0.401971134911137
"WestAfrica",12,0.805869431002066
"WestAfrica",13,0.703886335243384
"WestAfrica",14,0.586623430774235
"WestAfrica",15,0.754802547702596
"WestAfrica",16,0.506279160833559
"WestAfrica",17,0.795567445566212
"WestAfrica",18,0.876431007090306
"WestAfrica",19,0.666532376500957
"WestAfrica",20,0.722533951294615
"WestAfrica",21,0.429933423794854
"WestAfrica",22,0.422628725429363
"WestAfrica",23,0.730320250309757
"WestAfrica",24,0.586623430774235
"WestAfrica",25,0.881765876390812
"WestAfrica",26,0.503936870706094
"WestAfrica",27,0.51114267595557
"WestAfrica",28,0.770884628519022
"WestAfrica",29,0.702847508445535
"WestAfrica",30,0.660368705736338
"WestAfrica",31,0.847648246283512
"WestAfrica",32,0.370206635888967
"WestAfrica",33,0.730320250309757
"WestAfrica",34,0.690509449744335
"WestAfrica",35,0.731261740150947
"WestAfrica",36,0.497602027126198
"WestAfrica",37,0.540749555267394
"WestAfrica",38,0.702847508445535
"WestAfrica",39,0.640236451671484
"WestAfrica",40,0.714006527932361
"WestAfrica",41,0.617062889854064
"WestAfrica",42,0.465000593768734
"WestAfrica",43,0.689768227074884
"WestAfrica",44,0.405425560633559
"WestAfrica",45,0.799225718358976
"WestAfrica",46,0.576474578565984
"WestAfrica",47,0.338779966491403
"WestAfrica",48,0.825277498172461
"WestAfrica",49,0.547500400288185
"WestAfrica",50,0.576474578565984
"WestAfrica",51,0.586623430774235
"WestAfrica",52,0.738393198783055
"WestAfrica",53,0.453128550887144
"WestAfrica",54,0.876431007090306
"WestAfrica",55,0.612808481880749
"WestAfrica",56,0.510325501500927
"WestAfrica",57,0.767747210314034
"WestAfrica",58,0.715686633510802
"WestAfrica",59,0.766701687670038
"WestAfrica",60,0.623773593312959
"WestAfrica",61,0.896422381644977
"WestAfrica",62,0.576250546926332
"WestAfrica",63,0.472273695134612
"WestAfrica",64,0.661422541349507
"WestAfrica",65,0.658184789880188
"WestAfrica",66,0.598649901526382
"WestAfrica",67,0.770884628519022
"WestAfrica",68,0.876951139650299
"WestAfrica",69,0.896422381644977
"WestAfrica",70,0.502804938842464
"WestAfrica",71,0.444533203045213
"WestAfrica",72,0.821838474315565
"WestAfrica",73,0.366378440977445
"WestAfrica",74,0.689768227074884
"WestAfrica",75,0.446902197026505
"WestAfrica",76,0.576474578565984
"WestAfrica",77,0.623773593312959
"WestAfrica",78,0.372734564029621
"WestAfrica",79,0.847648246283512
"WestAfrica",80,0.822040938656311
"WestAfrica",81,0.588814476861683
"WestAfrica",82,0.715686633510802
"WestAfrica",83,0.799225718358976
"WestAfrica",84,0.731101275561377
"WestAfrica",85,0.556463107629107
"WestAfrica",86,0.417880442162096
"WestAfrica",87,0.720209746629085
"WestAfrica",88,0.343878093195726
"WestAfrica",89,0.481157337436673
"WestAfrica",90,0.640473103889205
"WestAfrica",91,0.575771126768703
"WestAfrica",92,0.588344991859049
"WestAfrica",93,0.754802547702596
"WestAfrica",94,0.660368705736338
"WestAfrica",95,0.54262880787416
"WestAfrica",96,0.563214170524179
"WestAfrica",97,0.811004021559552
"WestAfrica",98,0.506279160833559
"WestAfrica",99,0.733526367338679
"WestAfrica",100,0.372734564029621
"WestAfrica",101,0.506870471539246
"WestAfrica",102,0.343878093195726
"WestAfrica",103,0.628243991789323
"WestAfrica",104,0.631194923724979
"WestAfrica",105,0.338779966491403
"WestAfrica",106,0.497602027126198
"WestAfrica",107,0.732643941318874
"WestAfrica",108,0.52379824568982
"WestAfrica",109,0.429933423794854
"WestAfrica",110,0.547500400288185
"WestAfrica",111,0.738393198783055
"WestAfrica",112,0.337624155683443
"WestAfrica",113,0.771657526149575
"WestAfrica",114,0.623773593312959
"WestAfrica",115,0.626240684185177
"WestAfrica",116,0.554324674648
"WestAfrica",117,0.754802547702596
"WestAfrica",118,0.647616870611731
"WestAfrica",119,0.337624155683443
"WestAfrica",120,0.805869431002066
"WestAfrica",121,0.825277498172461
"WestAfrica",122,0.733307624832884
"WestAfrica",123,0.329870269054244
"WestAfrica",124,0.715686633510802
"WestAfrica",125,0.453128550887144
"WestAfrica",126,0.544891105333994
"WestAfrica",127,0.481157337436673
"WestAfrica",128,0.715686633510802
"WestAfrica",129,0.731101275561377
"WestAfrica",130,0.896422381644977
"WestAfrica",131,0.666532376500957
"WestAfrica",132,0.326766630107023
"WestAfrica",133,0.377484830372794
"WestAfrica",134,0.563214170524179
"WestAfrica",135,0.502804938842464
"WestAfrica",136,0.646573232905939
"WestAfrica",137,0.681786267766045
"WestAfrica",138,0.318894243852557
"WestAfrica",139,0.497602027126198
"WestAfrica",140,0.566956236007059
