"scenario","line_group","week","q025","q25","q50","q75","q975"
"DRC","baseline",0.5,0,0,0,0,0
"DRC","baseline",1.5,0,0,0,0,0
"DRC","baseline",2.5,0,0,0,0,0.1
"DRC","baseline",3.5,0,0,0,0.1,0.3
"DRC","baseline",4.5,0,0.1,0.2,0.3,0.6025
"DRC","baseline",5.5,0,0.2,0.3,0.5,0.802500000000001
"DRC","baseline",6.5,0.1,0.375,0.5,0.8,1.2
"DRC","baseline",7.5,0.2,0.5,0.7,0.9,1.5
"DRC","baseline",8.5,0.2,0.7,0.9,1.2,1.9
"DRC","baseline",9.5,0.2975,0.8,1.05,1.4,2.2
"DRC","baseline",10.5,0.4,0.9,1.2,1.6,2.5
"DRC","baseline",11.5,0.4,0.9,1.3,1.7,2.7025
"DRC","baseline",12.5,0.6,1.1,1.65,2.125,3.2025
"DRC","baseline",13.5,0.6,1.2,1.7,2.2,3.105
"DRC","baseline",14.5,0.5975,1.2,1.75,2.3,3.4025
"DRC","baseline",15.5,0.8,1.375,1.9,2.5,3.705
"DRC","baseline",16.5,0.6,1.3,1.7,2.125,3.305
"DRC","baseline",17.5,0.4,1.1,1.5,2,3.205
"DRC","baseline",18.5,0.4,1,1.4,1.9,2.9075
"DRC","baseline",19.5,0.3,0.9,1.3,1.8,2.9025
"DRC","baseline",20.5,0.3,0.8,1.1,1.525,2.4
"DRC","baseline",21.5,0.2,0.7,1,1.3,2.4
"DRC","baseline",22.5,0.1,0.5,0.85,1.2,1.9
"DRC","baseline",23.5,0.1,0.4,0.7,1,1.7
"DRC","baseline",24.5,0.1,0.4,0.6,0.9,1.5025
"DRC","baseline",25.5,0,0.3,0.5,0.8,1.5025
"DRC","baseline",26.5,0,0.3,0.4,0.7,1.4
"DRC","baseline",27.5,0,0.2,0.4,0.6,1.1025
"DRC","baseline",28.5,0,0.2,0.3,0.6,1.1025
"DRC","baseline",29.5,0,0.1,0.3,0.5,1
"DRC","baseline",30.5,0,0.2,0.3,0.6,1
"DRC","baseline",31.5,0,0.2,0.5,0.7,1.5
"DRC","baseline",32.5,0,0.2,0.3,0.6,1.4
"DRC","baseline",33.5,0,0.1,0.3,0.5,1.1
"DRC","baseline",34.5,0,0.1,0.3,0.6,1.4
"DRC","baseline",35.5,0,0.2,0.4,0.7,1.4
"DRC","baseline",36.5,0,0.2,0.5,0.7,1.6025
"DRC","baseline",37.5,0,0.3,0.6,0.9,1.9025
"DRC","baseline",38.5,0,0.3,0.6,1.1,2.0025
"DRC","baseline",39.5,0,0.4,0.7,1.3,2.705
"DRC","baseline",40.5,0,0.5,0.9,1.5,3.1125
"DRC","baseline",41.5,0,0.6,1.05,1.7,3.8025
"DRC","baseline",42.5,0,0.8,1.3,2.1,4.1
"DRC","baseline",43.5,0.0975000000000001,1,1.5,2.6,5
"DRC","baseline",44.5,0,0.9,1.55,2.8,5.3075
"DRC","baseline",45.5,0.1,0.9,1.4,2.4,4.905
"DRC","baseline",46.5,0.1975,1.1,1.7,3,5.51
"DRC","baseline",47.5,0.0975000000000001,1.3,1.95,3.225,6.1025
"DRC","baseline",48.5,0.1,1.1,1.8,2.9,5.7
"DRC","baseline",49.5,0.0975000000000001,1.1,1.7,2.8,5.6025
"DRC","baseline",50.5,0.1,0.875,1.5,2.125,4.1
"DRC","baseline",51.5,0.1,0.8,1.4,2.025,4.0075
"DRC","baseline",52.5,0,0.7,1.2,1.8,3.7
"DRC","baseline",53.5,0,0.6,1.1,1.6,3.01
"DRC","baseline",54.5,0,0.5,0.9,1.5,2.8025
"DRC","baseline",55.5,0,0.5,0.9,1.325,2.5
"DRC","baseline",56.5,0,0.4,0.7,1.1,2.3
"DRC","baseline",57.5,0,0.3,0.6,1,1.8025
"DRC","baseline",58.5,0,0.3,0.6,0.9,2.0025
"DRC","baseline",59.5,0,0.3,0.6,0.9,1.7025
"DRC","baseline",60.5,0,0.2,0.55,0.8,1.7
"DRC","baseline",61.5,0,0.2,0.4,0.7,1.605
"DRC","baseline",62.5,0,0.2,0.4,0.7,1.5
"DRC","baseline",63.5,0,0.1,0.4,0.6,1.2025
"DRC","baseline",64.5,0,0.1,0.3,0.6,1.1
"DRC","baseline",65.5,0,0.1,0.3,0.525,1.1
"DRC","baseline",66.5,0,0.1,0.3,0.5,1.0025
"DRC","baseline",67.5,0,0.1,0.3,0.5,1.005
"DRC","baseline",68.5,0,0.1,0.2,0.4,0.9
"DRC","baseline",69.5,0,0.075,0.2,0.4,1
"DRC","baseline",70.5,0,0.075,0.2,0.4,0.9
"DRC","baseline",71.5,0,0,0.2,0.3,0.9
"DRC","baseline",72.5,0,0,0.1,0.3,0.9
"DRC","baseline",73.5,0,0,0.1,0.3,0.702500000000001
"DRC","baseline",74.5,0,0,0.1,0.3,0.702500000000001
"DRC","baseline",75.5,0,0,0.1,0.2,0.7
"DRC","baseline",76.5,0,0,0.1,0.2,0.6
"DRC","baseline",77.5,0,0,0.1,0.2,0.6
"DRC","baseline",78.5,0,0,0.1,0.2,0.6
"DRC","baseline",79.5,0,0,0,0.2,0.5
"DRC","full",0.5,0,0,0,0,0
"DRC","full",1.5,0,0,0,0,0
"DRC","full",2.5,0,0,0,0,0.1
"DRC","full",3.5,0,0,0,0,0.1
"DRC","full",4.5,0,0,0,0.1,0.3
"DRC","full",5.5,0,0,0.1,0.1,0.3
"DRC","full",6.5,0,0,0.1,0.2,0.402500000000001
"DRC","full",7.5,0,0.1,0.1,0.2,0.5
"DRC","full",8.5,0,0.1,0.2,0.3,0.5
"DRC","full",9.5,0,0.1,0.2,0.3,0.6
"DRC","full",10.5,0,0.1,0.2,0.4,0.6
"DRC","full",11.5,0,0.1,0.2,0.4,0.702500000000001
"DRC","full",12.5,0,0.175,0.3,0.4,0.8
"DRC","full",13.5,0,0.2,0.3,0.5,0.9
"DRC","full",14.5,0,0.2,0.3,0.5,0.8
"DRC","full",15.5,0,0.2,0.3,0.5,1.0025
"DRC","full",16.5,0,0.2,0.3,0.4,0.802500000000001
"DRC","full",17.5,0,0.1,0.3,0.4,0.7
"DRC","full",18.5,0,0.1,0.3,0.4,0.7
"DRC","full",19.5,0,0.1,0.2,0.4,0.6
"DRC","full",20.5,0,0.1,0.2,0.3,0.6
"DRC","full",21.5,0,0.1,0.2,0.3,0.502500000000001
"DRC","full",22.5,0,0,0.1,0.2,0.5
"DRC","full",23.5,0,0,0.1,0.2,0.5
"DRC","full",24.5,0,0,0.1,0.2,0.4
"DRC","full",25.5,0,0,0.1,0.2,0.402500000000001
"DRC","full",26.5,0,0,0.1,0.2,0.302500000000001
"DRC","full",27.5,0,0,0.1,0.1,0.4
"DRC","full",28.5,0,0,0.05,0.1,0.3
"DRC","full",29.5,0,0,0,0.1,0.3
"DRC","full",30.5,0,0,0,0.1,0.4
"DRC","full",31.5,0,0,0.1,0.1,0.4
"DRC","full",32.5,0,0,0.1,0.2,0.4
"DRC","full",33.5,0,0,0.1,0.1,0.3
"DRC","full",34.5,0,0,0,0.1,0.4
"DRC","full",35.5,0,0,0,0.1,0.3
"DRC","full",36.5,0,0,0.1,0.2,0.5
"DRC","full",37.5,0,0,0.1,0.2,0.6
"DRC","full",38.5,0,0,0.1,0.2,0.502500000000001
"DRC","full",39.5,0,0,0.15,0.225,0.6
"DRC","full",40.5,0,0.075,0.1,0.3,0.9
"DRC","full",41.5,0,0.1,0.2,0.4,1
"DRC","full",42.5,0,0.1,0.2,0.5,1.0025
"DRC","full",43.5,0,0.1,0.3,0.6,1.3
"DRC","full",44.5,0,0.2,0.3,0.5,1.1025
"DRC","full",45.5,0,0.1,0.3,0.5,1.1
"DRC","full",46.5,0,0.2,0.3,0.6,1.2075
"DRC","full",47.5,0,0.1,0.4,0.6,1.105
"DRC","full",48.5,0,0.1,0.4,0.6,1.3
"DRC","full",49.5,0,0.1,0.3,0.6,1.305
"DRC","full",50.5,0,0.1,0.2,0.5,1
"DRC","full",51.5,0,0.1,0.2,0.4,1
"DRC","full",52.5,0,0.1,0.2,0.4,0.9
"DRC","full",53.5,0,0.1,0.2,0.4,0.8
"DRC","full",54.5,0,0.1,0.2,0.3,0.8
"DRC","full",55.5,0,0,0.1,0.3,0.6
"DRC","full",56.5,0,0,0.1,0.2,0.6
"DRC","full",57.5,0,0,0.1,0.2,0.5
"DRC","full",58.5,0,0,0.1,0.2,0.5
"DRC","full",59.5,0,0,0.1,0.2,0.6025
"DRC","full",60.5,0,0,0.1,0.2,0.502500000000001
"DRC","full",61.5,0,0,0.1,0.1,0.4
"DRC","full",62.5,0,0,0.1,0.2,0.4
"DRC","full",63.5,0,0,0,0.1,0.3
"DRC","full",64.5,0,0,0,0.1,0.4
"DRC","full",65.5,0,0,0,0.1,0.3
"DRC","full",66.5,0,0,0,0.1,0.3
"DRC","full",67.5,0,0,0,0.1,0.3
"DRC","full",68.5,0,0,0,0.1,0.3
"DRC","full",69.5,0,0,0,0.1,0.2
"DRC","full",70.5,0,0,0,0.1,0.3
"DRC","full",71.5,0,0,0,0.1,0.3
"DRC","full",72.5,0,0,0,0.1,0.2
"DRC","full",73.5,0,0,0,0.025,0.202500000000001
"DRC","full",74.5,0,0,0,0.025,0.2
