"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","arm_label","scenario_label"
"WestAfrica",115,"obv_80",152.7,614011.350588814,6507,8034,3147917.36956047,80.9932785660941,80.4946801804221,"80%","West Africa (Worst)"
"WestAfrica",115,"obv_90",81.9,251472.481406672,7216,8035,2539237.48302527,89.8070939639079,90.0965355510165,"90%","West Africa (Worst)"
"WestAfrica",117,"obv_50",302,976175.569180902,3070,6090,1994198.07310789,50.4105090311987,51.0492171091326,"50%","West Africa (Worst)"
"WestAfrica",117,"obv_60",188.5,792237.580936538,2812,4697,1946085.78917572,59.8680008516074,59.2907165067941,"60%","West Africa (Worst)"
"WestAfrica",117,"obv_70",158.9,517166.274287513,3549,5138,1711822.730371,69.0735694822888,69.788561332199,"70%","West Africa (Worst)"
"WestAfrica",117,"obv_80",126.8,488755.930688885,5228,6496,2472970.73695204,80.4802955665025,80.236081107402,"80%","West Africa (Worst)"
"WestAfrica",117,"obv_90",42.2,165525.676735704,3676,4098,1689221.61414043,89.7022938018546,90.2010680333419,"90%","West Africa (Worst)"
"WestAfrica",118,"obv_50",326.5,1206626.70456771,3231,6496,2429706.46120018,49.7383004926108,50.3385810658095,"50%","West Africa (Worst)"
"WestAfrica",118,"obv_60",193.7,817467.387299576,2845,4782,2039890.48250121,59.4939355918026,59.925917870981,"60%","West Africa (Worst)"
"WestAfrica",118,"obv_70",185.3,760900.574262673,4475,6328,2546919.38639818,70.7174462705436,70.124669892331,"70%","West Africa (Worst)"
"WestAfrica",118,"obv_80",157.7,468332.473599946,6361,7938,2349193.21410464,80.1335348954397,80.0641143185643,"80%","West Africa (Worst)"
"WestAfrica",118,"obv_90",63.7,161030.839319296,5543,6180,1614097.60109107,89.6925566343042,90.0234757049112,"90%","West Africa (Worst)"
"WestAfrica",121,"obv_50",465.2,1202615.75854424,4525,9177,2421339.92113866,49.308052740547,50.3326340905207,"50%","West Africa (Worst)"
"WestAfrica",121,"obv_60",464.8,813194.973203624,6900,11548,2028052.09776156,59.7506061655698,59.9026586101423,"60%","West Africa (Worst)"
"WestAfrica",121,"obv_70",204.9,649182.123044214,4742,6791,2172139.54685985,69.827713149757,70.1132404691631,"70%","West Africa (Worst)"
"WestAfrica",121,"obv_80",175.1,371807.891976762,7070,8821,1850108.45399361,80.1496428976307,79.903454244848,"80%","West Africa (Worst)"
"WestAfrica",121,"obv_90",77.8,243312.253715505,7072,7850,2433426.44535212,90.0891719745223,90.0012488900072,"90%","West Africa (Worst)"
"WestAfrica",122,"obv_50",398,1268453.47774488,3997,7977,2535993.28590511,50.1065563495048,49.9819859620742,"50%","West Africa (Worst)"
"WestAfrica",122,"obv_60",230.8,795085.904157795,3461,5769,1968358.83511071,59.9930663893222,59.6066586043456,"60%","West Africa (Worst)"
"WestAfrica",122,"obv_70",182.7,670729.16315897,4407,6234,2265784.92243712,70.6929740134745,70.3974919897728,"70%","West Africa (Worst)"
"WestAfrica",122,"obv_80",108,411930.527432534,4363,5443,2084775.65559453,80.1580011023333,80.2410141193317,"80%","West Africa (Worst)"
"WestAfrica",122,"obv_90",98.8,281948.411871092,8157,9145,2693186.42257119,89.1962821213778,89.5310473308448,"90%","West Africa (Worst)"
"WestAfrica",125,"obv_50",127,598538.21198254,1292,2562,1214522.66280365,50.4293520686963,50.7182343884097,"50%","West Africa (Worst)"
"WestAfrica",125,"obv_60",174.5,815926.609811455,2596,4341,2005325.64634308,59.8018889656761,59.3120144202323,"60%","West Africa (Worst)"
"WestAfrica",125,"obv_70",112.8,536335.512451791,2710,3838,1803022.12757886,70.6096925482022,70.2535257749723,"70%","West Africa (Worst)"
"WestAfrica",125,"obv_80",49.1,276159.530494922,1995,2486,1373854.86879917,80.249396621078,79.8989298821424,"80%","West Africa (Worst)"
"WestAfrica",125,"obv_90",20.9,86103.0012903131,2067,2276,916893.328075237,90.817223198594,90.6092673319957,"90%","West Africa (Worst)"
"WestAfrica",126,"obv_50",310.9,1008247.29191021,3228,6337,2043451.50327941,50.938930093104,50.6595928363295,"50%","West Africa (Worst)"
"WestAfrica",126,"obv_60",268.2,1020794.44525616,4038,6720,2527295.86336907,60.0892857142857,59.6092226457661,"60%","West Africa (Worst)"
"WestAfrica",126,"obv_70",233.5,732915.543059042,5638,7973,2483813.19564131,70.7136585977675,70.4923242881071,"70%","West Africa (Worst)"
"WestAfrica",126,"obv_80",81,221713.268217925,3119,3929,1094239.36069541,79.3840671926699,79.7381380910095,"80%","West Africa (Worst)"
"WestAfrica",126,"obv_90",75.7,223731.072296136,6654,7411,2298253.54191421,89.7854540547834,90.2651701295849,"90%","West Africa (Worst)"
"WestAfrica",127,"obv_50",347.1,958792.835632063,3515,6986,1936084.67115969,50.3149155453765,50.4777425329359,"50%","West Africa (Worst)"
"WestAfrica",127,"obv_60",268.7,732716.991706516,4283,6970,1854394.47187657,61.4490674318508,60.4875336494593,"60%","West Africa (Worst)"
"WestAfrica",127,"obv_70",198.8,800569.785513028,4798,6786,2726230.68923727,70.7043913940466,70.6345545637957,"70%","West Africa (Worst)"
"WestAfrica",127,"obv_80",138.8,479075.497471949,5399,6787,2338407.9439731,79.5491380580522,79.512749317043,"80%","West Africa (Worst)"
"WestAfrica",127,"obv_90",42,173297.988276392,4152,4572,1723747.4830331,90.8136482939633,89.9464399523614,"90%","West Africa (Worst)"
"WestAfrica",129,"obv_50",338.3,1048820.81950618,3479,6862,2091925.85013146,50.6995045176333,49.8633845248257,"50%","West Africa (Worst)"
"WestAfrica",129,"obv_60",256.5,875697.722241715,3924,6489,2198608.41097078,60.4715672676838,60.1703642234746,"60%","West Africa (Worst)"
"WestAfrica",129,"obv_70",224.1,749549.238505165,5098,7339,2479591.93243366,69.4645047009129,69.7712664450597,"70%","West Africa (Worst)"
"WestAfrica",129,"obv_80",154.8,454570.776877382,5984,7532,2234845.41505711,79.4476898566118,79.6598559428432,"80%","West Africa (Worst)"
"WestAfrica",129,"obv_90",60.1,221513.617123114,5825,6426,2325621.06697422,90.6473700591348,90.4750769474531,"90%","West Africa (Worst)"
"WestAfrica",130,"obv_50",263.5,1070402.75912664,2576,5211,2134197.21263229,49.4338898483976,49.845180530134,"50%","West Africa (Worst)"
"WestAfrica",130,"obv_60",227.3,767814.280464509,3404,5677,1928238.02560606,59.9612471375727,60.1805238633245,"60%","West Africa (Worst)"
"WestAfrica",130,"obv_70",209.2,661286.761738716,4773,6865,2185930.22902904,69.5265841223598,69.7480389375259,"70%","West Africa (Worst)"
"WestAfrica",130,"obv_80",136.2,415199.61555074,5366,6728,2086499.89069965,79.756242568371,80.1006643996749,"80%","West Africa (Worst)"
"WestAfrica",130,"obv_90",49.3,188072.546294988,4832,5325,2006207.76535815,90.7417840375587,90.6254701261505,"90%","West Africa (Worst)"
"WestAfrica",133,"obv_50",274.1,1022469.8286296,2775,5516,2064071.41945244,50.3081943437273,50.463447195018,"50%","West Africa (Worst)"
"WestAfrica",133,"obv_60",163.9,785824.394919441,2497,4136,1970602.02520635,60.3723404255319,60.1226231949521,"60%","West Africa (Worst)"
"WestAfrica",133,"obv_70",95.6,438724.728866282,2270,3226,1447687.36647064,70.3657780533168,69.6947877678961,"70%","West Africa (Worst)"
"WestAfrica",133,"obv_80",105.3,364538.776436942,4065,5118,1792603.6459721,79.4255568581477,79.6642845586059,"80%","West Africa (Worst)"
"WestAfrica",133,"obv_90",37.8,175296.778305616,3555,3933,1753074.5393813,90.3890160183066,90.0006089662632,"90%","West Africa (Worst)"
"WestAfrica",134,"obv_50",234.3,1018140.02009875,2395,4738,2057962.53095192,50.5487547488392,50.5267950807735,"50%","West Africa (Worst)"
"WestAfrica",134,"obv_60",173.6,709641.326207112,2566,4302,1763930.06986925,59.6466759646676,59.7693050122042,"60%","West Africa (Worst)"
